post,background
"Hace aproximadamente 2 años un amigo me comentó sobre el FIUBA Consulting Club un tal grupo de consultoría hecho por alumnos de FIUBA que estaban necesitando gente para expandirse. Luego de un proceso de selección, entre con mucha motivación y pude conocer una gran cantidad de gente con ganas de revolucionar el método educativo institucional, dando a conocer un mundo totalmente diferente al académico.    Fui aprendiendo de grandes tutores que no solamente me transmitieron “hard skills” y enseñaron herramientas nuevas, sino que por sobre todo me ayudaron a entender mucho mas en profundidad el significado de trabajo de equipo, dedicación y empatía.    Este fin de semana pasado tuvo lugar el Fiubaton, evento de hackathon de innovación creado por el Club en 2019, evento del cual pude tener el honor de haber sido coorganizador junto con y . Para el evento en cuestión, teníamos como objetivo inculcar los valores y visión del Club en los participantes, para así trasmitirles nuestra motivación para salir al mundo con una cabeza bien abierta. El evento alcanzó a tener a mas de 150 participantes, contando con la participación de mas de 30 integrantes del Club que se desvivieron por que todo salga lo mejor posible.    A pesar de ser ya Senior en el Club, este evento me enseño un par de lecciones. Por un lado, gracias a Matías pude aprender que por más imposible que se vea una situación o inconveniente, con perseverancia y trabajo duro (también con un ocasional alooo) siempre se sale adelante. Por otra parte, Marcos me enseñó a que a veces la solución es mucho más simple de lo que aparenta y cómo ganarse el corazón de la gente que te rodea (y que no existe un número suficiente de fosforítos).    Finalmente, el me demostró nuevamente el gran corazón que tiene y que siempre pero siempre ponerse la camiseta con el logo del alfil vale la pena.  Gracias también a todo el escuadrón de FIUBATON que hizo posible esto:      Gracias también a y porque siempre están y son excelentes directores.      Para concluir, quería agradecer también a las empresas que hicieron todo esto posible:",Coordinador de desarrollo de proyectos en FIUBA Consulting Club
"Hi Everyone,    I am thrilled to announce that I along with Aaron Philip, Sakshi Deshmukh, , and have won the finale of Smart India Hackathon, 2022. Our team named ""Syntax Terminators 22"" proposed a solution to the problem statement given to us by Dell Technologies. We were successful in building an interface that let's users build their own chatbots, but we focused mainly to build a chatbot aimed at the healthcare industry as that was what was expected.    Our team is incredibly grateful to all the judges and evaluators especially for their valuable inputs and suggestions.",3D Developer | SIH Winner 2022 | Head of Videography at TEDxMITWPU
"We have successfully collaborated with IEEE to host the info sessions with some great companies like DELL, Paycom, Texas Instruments and we are glad to see the huge turnout. Thanks to everyone for coming out and getting involved. Stay tuned for the rest of the semester. Coming up, we have some hackathons to participate !!",75 followers
"‼️ Facciamo il punto, dopo 3 anni di business a #Palermo 🤯    Una città dove le realtà IT più innovative fanno siti web in WordPress e vendono corsi che ti promettono di cambiare la tua vita, manco fossero Tony Robbins.    Un territorio dove il concetto di coworking è ridotto ad un luogo che affitta stanze (rigorosamente riservate. Non sia mai ti rubino un cliente).    Dove personaggi di dubbia professionalità si spacciano per Advisor, Trainer e Startup Coach quando non hanno mai avuto un successo nel business.    Dove le aziende ti nascondo al loro team per paura che uno dei loro talenti, appena formato nello sviluppo in jQuery (e pagato in buoni pasto) possa venire a lavorare per la tua azienda.    Dove “ti pago in visibilità” e “lavorare in modo flessibile” significa fare 12 ore di lavoro al giorno mentre vieni assunto part-time.    Dove è più importante apparire.  Non importa se su un social mentre alzi il “Premio Barzotto” o su un articolo nel giornale del paese.    Per non parlare dei vari hackathon e pseudo startup weekend, che l’unica cosa che insegnano è che…bello adesso la mia idea è una startup e posso scrivere “Founder e CEO” sul mio profilo LinkedIn.    Una città che durante le elezioni promuoveva personaggi che sfruttavano l’entusiasmo di giovani startupper raccontando che avrebbero dato loro un’opportunità per costruire una in cambio del loro voto (e se portavi mamma, papà, zio, nonni etc… anche meglio).    Dove le aziende che vantano qualche piccolo successo, se la tirano manco fossero Y Combinator, vivendo di progetti passati di dubbia utilità e finiti miseramente.    Bè cari amici, dovrei dirvi che è una città difficile dove fare business. Dove c’è grande ego e tanta ipocrisia, ma devo dirvi che io a questa città ne sono grato.    Perché mi ha dato un gruppo di amici con cui condivido tutti i giorni sogni e la passione per la programmazione.    È difficile raccontare com’è la vita in , i progetti che stiamo portando avanti e come siamo diventati una delle realtà IT più richieste nel mondo , sviluppando un Metaverso in , creando nuove cripto, sistemi per lo sviluppo di e tanto altro …. ma se venite a trovarci capirete quanto c**o sono fighi questi qua 👇🏻❤️    , , , , , , , , Giuliano Randazzo, Giovanni Di Gregorio, Giorgio Sangiorgi, Roberto Valenza, Daniele Maione.",Founder bitRocket.dev
Secondo giorno di convention Var Group in attesa dei vincitori dell!’Hackathon #conventionvargroup #innovazione #digitalizzazione con Simone Bonini Jacopo Romagnoli Febo Leondini,Referente Food&Beverage presso Postalmarket
"𝗜𝗹 𝗠𝗮𝗱𝗲 𝗶𝗻 𝗜𝘁𝗮𝗹𝘆 𝗿𝗮𝗰𝗰𝗼𝗻𝘁𝗮𝘁𝗼 𝗱𝗮𝗹𝗹𝗮 𝗚𝗲𝗻𝗭🤩📲    📆 Venerdì 21 ottobre, nel primo hackathon di FCC - Officine Digitali, due eccellenze del nostro territorio: e hanno lanciato due sfide su comunicazione creativa e design thinking.    Le ragazze e i ragazzi dell’IIS ""I.Newton-S.Pertini"" di Camposampiero, dell’ITIS F. Severi di Padova e dell’ITT Eugenio Barsanti di Castelfranco sono stati coinvolti per lo sviluppo delle due challenges.    Ecco i ragazzi all’opera👇📸","9,497 followers"
"After nearly 9 years in Powerpath and Dell EMC, it is finally time to say Good Bye.    Dell EMC has been a company of many firsts for me.  The company where I presented my first conference paper, filed my first Invention Disclosure, relished a hackathon win.    I will always remember this team as a group of high achieving innovators 😊. This is the team where I found my role-models, mentors and inspiration.    I will always remember the support of the team and the management during my GMITE course from IIMB.    I sincerely thank the management for being the pioneers in supporting women in career and providing work from home and flexibility to young mothers at a time when it was not very common in industry.    Signing off with lots of cherish able memories.",Manager at Vmware
"I ragazzə di Target Reply ormai ci han preso gusto!   Quello di partecipare costantemente agli #hackaton organizzati da Reply..    Ma è nel vincerli e portali a casa che ci stanno prendendo ancora più gusto!    e  insieme ad alcuni ragazzi di tornano vincitori dall'ultimo Hackaton, ""Workplace Disruption Hackathon"",svoltosi a Porto lo scorso Weekend, dove hanno presentato una soluzione creativa per ottimizzare i tempi dei meeting aziendali:  'Un generatore automatico di MoM per le aziende', un tool in grado di elaborare le registrazioni delle calls, trascriverle e inoltrarle a tutti i partecipanti, utile soprattutto per persone che non hanno potuto partecipare alla call.    Muito bem! 🇵🇹🍷","3,796 followers"
"My internship at Dell Technologies has been a fun and enriching experience. The Summer Internship Program has had a profound and lasting effect on me.    From the hackathon to the team bonding events, It has indeed been a very dynamic and engaging internship experience. I am grateful for all the friendships I've forged during this time.    Lastly, thank you for acknowledging my efforts by bestowing upon me the best intern prize for my project during my 2.5 months tenure at Dell.",Industrial Designer. Design Ethnography. Archetypes through User Actions.
"Hello, Connections..!  I am elated to share that our team SwasthyaVardhak has won🎊 the Smart Indian Hackathon 2022 (Software edition). It was really a wonderful experience of working, travelling, hustling, brainstorming, learning etc. I could have never imagined this type of challenge which made me believe in my capabilities.    Our problem statement was given by which was to develop a mobile application to understand doctors' handwritten prescriptions and convert that into a digitalized format.    I am really happy to announce that I worked with the best potential teammates one could ever get comprised of , , , and .    Our journey was literally a roller coaster ride filled with wax and wane right from the beginning. We faced a lot of challenges from the unavailability of data in the starting to experiencing a Kaggle crash at the final presentation.    But with our biggest strengths i.e. our teamwork, our bond, and our will, to not give up finally made us the winners of SIH'22    I would like to thank , and for all the motivation, appreciation, suggestions and guidance throughout.    I would also like to pay my gratitude to for making the whole experience so smooth and memorable with great hospitality and support.    A special thank you to our mentors Dr Pratima Singh and lucknesh Kumar for their constant guidance and backing.    And not to forget for always being just a call away with the solution to every problem.😇",SIH 2022 Winner | Flutter Developer | 4⭐@codechef | Codeforces 1259
"   One of the perks we have working with our IHL partners is the opportunity to have access to great talents like Jowett Chng.    We met Jowett through a competition that our team organized. While he joined the Cloud Native Architecture team for a short duration, Jowett has been committed, passionate and not to mention talented. The team gave him a project to help in development of our Hackathon environment and scaling it up, applying the Kubernetes knowledge he learnt, to support our various upcoming projects.     As our APJ headquarters, Singapore is home to our Global Innovation Hub under our 'Digital Future- Made in Singapore’ initiative. We continue with our journey in empowering 5,000 tertiary students with in-demand tech skills over the next 2 years. ","Senior Cloud Native Strategist, Dell Technologies and VMware"
"Inizierà oggi alle 15:30 il webinar ”LABORATORIO DIGITALE PER ARTICOLARE STRATEGIE DI BIOECONOMIA CIRCOLARE”. Un evento che si svolge sia nell’ambito della “Circular Economy Week ad Albano Laziale” SCALIBUR project, , sia nella settimana .    in collaborazione UCSA - Ufficio Comune per la Sostenibilità Ambientale, hanno voluto realizzare tale evento come contributo ai processi partecipativi nell’ambito dell 'ambito della . L’iniziativa rientra anche fra le attività preparatorie al Road to Hackathon 2022: ECONOMIA CIRCOLARE E GIOVENTÙ di UCSA. Grazie al supporto di @ScienceforChange (partner progetto ) e in particolare di sarà possibile utilizzare una metodologia interattiva per disegnare soluzioni condivise e spunti per risolvere alcune sfide nell’ambito dell’economia circolare.  Iscrizioni ancora aperte:",Senior project manager and communication expert at ANCI LAZIO
"Come to learn how to prepare and ace your next hackathon.    🔗 Registration link: https://lnkd.in/dJCAfvFF     is a junior Computer Science student at Drexel University.    🌱 She has attended 14 hackathons and achieved 7 awards with 7+ projects focusing on social good, accessibility, and environmental sustainability problems.    🏆 Hackathon Awards:  • 1st Place Overall and Best Hack for Social Good, Drexel DragonHacks 2021  • Top 10, Hardware Finals - Harvard Makeathon 2021  • 1st place, Dell Boomi Environment Sustainability Challenge - Philly Codefest 2020  • 1st place, Social Good Track - Rutgers Hackathon 2019  • Best Use of an IoT Device - Penn State Hackathon 2019",314 followers
"Ci siamo quasi!    Domani parte l’ottava edizione dell’#Hackathon Var Group: in 32 ore i partecipanti realizzeranno un progetto ad alta priorità strategica, in ambito WEB 3.0, per importanti aziende del panorama italiano e internazionale.  Buon lavoro e buon divertimento a tutti!",518 followers
"Greetings everyone! I hope you're doing well.    Today is my last working day at Dell Technologies. After almost four years of working on different products & technologies, making connections, learning, and evolving as a person, I move on to pursue a Master's in Business Analytics in the United States.    I joined Dell in 2018 straight out of college, and I have grown both personally and professionally ever since. Be it challenging work opportunities, brainstorming innovative solutions, participating in hackathons, exploring patentability with novel technologies, or conducting CSRs, all these factors have helped me transform into the person I am today, confident of facing real-world challenges. I want to express gratitude to my leaders and mentors at Dell technologies for believing in me and always enabling the best in me. I hope my contributions will add value to the business.     For my next stint, I am excited to start my graduate studies at the prestigious  and begin the next chapter of my life in Seattle. I am Looking forward to learning about data analytics and its role in driving businesses.",MS in Business Analytics at Foster School of Business | Ex - Dell | Certified Product Manager | Certified Scrum Product Owner (CSPO®)
¡Participa del HACKATHON 2021!  Premios del segundo lugar😮  ✔4 Backpacks con mouse y teclado⁠  ✔4 Laptops Dell Inspiron G5 5510  ✔Cursos de GenNext Academy sobre Leadership Skills.⁠  Los mismos se reparten a cada uno de los miembros del equipo.⁠,158 followers
"""Hack-to-Hire"" is a two-day mass #hackathon -based hiring event in    which students are evaluated holistically for their technical prowess,    business judgement, disposition, and design thinking.👌    📍 An opportunity to start your career from     If you are interested comment down below 👇👇👇     ","33,210 followers"
"GC Network presente al tavolo Giustizia e Women's Empowerment. Rilanciare l’economia dopo il Covid-19. Un Hackathon alla presenza di Professionisti del mondo giuridico e non solo, insieme per discutere di Giustizia e potenziamento dell' opportunità delle donne. Lunedì 29 novembre dalle 12 alle 14 in diretta streaming dal canale youtube dell'Ordine degli Avvocati di Roma.","1,143 followers"
"This summer I have been interning with Dell Digital as a Product Manager on the Global Take Back Team and report to Derek Byrne . By 2030, Dell aims to recycle 1 product for every product sold. My team works on tools to make this goal a reality. I help my team revise and visualize their quarterly and annual goals to help achieve Dell’s long term goal of becoming more environmentally friendly.    Some of my favorite memories of this summer so far are being in office, participating in my first hackathon and creating meaningful relationships with my co-workers.      Thank you for creating a wonderful summer!",Product Management Intern at Dell Technologies
"Look at us! ""Fighting"" for The Ultimate Recruitment Master Title 😁 but mostly having a lot of fun and a great team bonding time 🤩.  When I came up with a crazy idea that I would like to organize our very first Recruiting Hackathon 🏆, where we would compete in teams to fulfill different tasks connected with questions about Dell, sourcing and writing InMail techniques as well as negotiation skills role-play, I received a huge amount of support from our amazing leadership team 💙 and they let my crazy idea come to life!  Big thanks goes to my ""partner in crime"" 🤍 for helping me organize it and of course to the best colleagues out there, who followed along this craziness    I would say we make a pretty good team! 😎    Honorable mentions go to and for preparing prizes for our winners and making digital memories 📸",Talent Acquisition Analyst at Dell Technologies
Snippets from Dell Technologies’ Hacktrick Opening Event!    317 students & Working Professionals joined us from all over Egypt in a breathtaking event to start competing for this year Hackathon.    Can’t wait till the 26th of March to reveal the 6 winners 🔥,EdTech | Program Management | Ops & Performance | Udacity
"Un grande successo per la giornata d’apertura di #HacktheFake: tantissimi talenti riuniti per il primo #Hackathon dedicato la #MadeinItaly, pronti a cimentarsi nella sfida di #ricerca e #innovazione delle soluzioni più efficaci nel campo della e .  Confronto e lavoro anche domani per i team in competizione","12,226 followers"
Ecco i partner che caratterizzeranno la 32 ore di sviluppo dell’#Hackathon. Ad ogni gruppo è stato affidato il progetto di un partner. Loro dovranno svilupparlo e renderlo vincente. Ecco tutti i gruppi di lavoro! Chi vincerà l’Hackathon?      - These are the partners who are going to take part to our 32hours of Hackathon. Every work team has got a partner’s project. They have to develop it and make it winning. Here come all the teams. Who is going to win our Hackathon?,"24,752 followers"
"A equipe ""Qualhada"" foi uma das vencedoras da Arena Hackathon Paraná, no Show Rural Coopavel.  E, a parceria entre Dell Technologies, Domo Soluções e Coopavel, os presentearam com um super notebook Dell.    , , .","2,536 followers"
"Tech4 Good.  Tecnologie GIS per risolvere sfide sociali e ambientali che ci verranno fornite da ONG.  Siamo tutti impegnati (allievi, staff e aziende partner , ) ad organizzare Il GIS Hackathon e dare il nostro contributo per trovare soluzioni concrete per affrontare le principali sfide dell' umanità.    join the game.",Helping companies to shape the world of work for the better. HR | OD | Sustainability executive (Interim & Consultant). FCIPD & SCP-SHRM .
Our very own Cloud Native Architecture advocates will be running this year's Singapore Civil Defence Force & Dell Technologies LifeSavers Innovation Challenge 2022!  ..  .  .    What makes it more exciting is that will be powering this hackathon.    Find out more here:,Enterprise Transformation ~ App Modernization ~ DevSecOps | Enabling clients to modernise IT and meet the demands of tomorrow ☁️ | VMware Tanzu
"Venerdì 18 e sabato 19 novembre ospiteremo in #I3P l'hackathon internazionale a tema spazio ActInSpace!    Durante l’hackathon potrai cimentarti in una delle oltre 20 sfide proposte da , ESA e partner internazionali. Le sfide sono suddivise in quattro categorie principali: “Be a new space player”, “Business in everyday life”, “Space for Earth and humanity” e “Fly to the moon and beyond”.    La partecipazione è gratuita ma i posti disponibili sono limitati, iscriviti ora:        CNES | | |","11,688 followers"
"Ci siamo quasi! Domani parte l’ottava edizione dell’#Hackathon Var Group: in 32 ore i partecipanti realizzeranno un progetto ad alta priorità strategica, in ambito WEB 3.0, per importanti aziende del panorama italiano e internazionale.  Buon lavoro e buon divertimento a tutti!      | |","2,031 followers"
Sta per iniziare l’ottava edizione dell’#Hackathon Var Group!  I partecipanti avranno 32 ore di tempo per realizzare progetti innovativi in abito WEB 3.0. partendo da esigenze reali di aziende leader del panorama italiano e internazionale.  Il tutto con il supporto degli esperti di Var Group Blockchain.  Buona fortuna!            ,"3,904 followers"
Sta per iniziare l’ottava edizione dell’#Hackathon Var Group!  I partecipanti avranno 32 ore di tempo per realizzare progetti innovativi in abito WEB 3.0. partendo da esigenze reali di aziende leader del panorama italiano e internazionale.  Il tutto con il supporto degli esperti di Var Group Blockchain.  Buona fortuna!           ,491 followers
"Come to learn how to prepare and ace your next hackathon.     🔗 Registration link: https://lnkd.in/dJCAfvFF     💻 Nom Phan is a junior Computer Engineering student with exposure to Robotics, Web, and Mobile Development. He is a dedicated Technical Chair at Drexel IEEE. Nom is also a motivated research assistant who builds and optimizes robotics systems for social goods    🌱 He is the 5 times Hackathon Winner with various projects in education, healthcare, environmental sustainability fields    🏆 Hackathon Awards:  • 1st Place Overall and Best Hack for Social Good, Drexel DragonHacks 2021  • Top 10, Hardware Finals - Harvard Makeathon 2021  • 1st place, Dell Boomi Environment Sustainability Challenge - Philly Codefest 2020  • 1st place, Social Good Track - Rutgers Hackathon 2019  • Best Use of an IoT Device - Penn State Hackathon 2019",314 followers
Congratulations !! to Dell Technologies     GWFM is proud to present the “Disruptive International WFM Award 2022” to the DELL Technologies team for demonstrating disruptive solutions to their business problems during the 48 hours of the Marathon International WFM Innovation Hackathon.     Presented on International WFM Professionals Day 27th June 2022.      Well done and your team      Appreciate for your extended support and encouragement for the team to explore new innovations in WFM    Sincere Gratitude to Distinguished mentor for coaching and mentoring the team.,"7,577 followers"
"👉Ieri si è conclusa la #conventionvargroup edizione 2022 al PalaRiccione - Palazzo dei Congressi di Riccione.    👉E’ stata raccontata l’anima digitale delle e del    Ed è stata la mia prima Convention “dal vivo” e la mia prima convention “insieme allo staff 👏    💪Energia, lavoro, confronto, e poi…musica e divertimento! 👦 👩 🧑Una squadra appassionata 👍    , e solo due parole che racchiudono tutto: Digital Soul             Emozioni che non dimenticherò, fino…alla prossima ! E’ nata una grande storia d’amore 🙏",Marketing e Digital - PRAGMA PROGETTI SRL
"¡Participa del HACKATHON 2021!  Por lo que vamos a presentar el premio para el tercer lugar.  ✔4 monitores Dell 27"" Curved Gaming Monitor.  ✔Cursos de GenNext Academy sobre Leadership Skills.⁠    Los mismos se repartirán por cada miembro del equipo y se dará más información pronto.",158 followers
"Dal 4 al 6 novembre si terrà la 4° CASSINI HACKATHON: SPACE FOR THE FINANCIAL WORLD.  L’evento lanciato dalla Commissione Europea per stimolare l’uso delle tecnologie spaziali è organizzato da , insieme a numerosi stakeholder appartenenti all’ecosistema dell’innovazione nazionale. Tra i valutatori e mentori sarà presente , Innovation Consultant Piemonte Innova!","4,537 followers"
"Oggi pomeriggio presso il nostro Village i vincitori del 1° Hackathon Crédit Agricole Italia - Energia in Movimento  hanno incontrato alcune delle nostre startup.    🚀 È stata una bellissima occasione di scambio reciproco che ha fatto conoscere la vita di Le Village by CA Triveneto ai nostri ospiti.    Le startup hanno anche ricevuto spunti interessanti riguardo a:  ✅ Feedback per una maggiore attrattività del pitch  ✅ Come trasmettere la sostenibilità agli occhi degli investitori.  ✅ Posizionamento, Revenue streams, Fidelizzazione e Retention, Competitors e Filiera.  ✅ Strategie per ottimizzare una politica di Recruiting Inclusiva     Grazie:  ai vincitori dell’Hackathon    , Assistente Mercato d’Impresa ❖ , Addetto Direzione Centrale Ser. RAF e Rischi Finanziari ❖ , Gestore Family ❖ , Gestore Clientela ❖ , Gestore Premium ❖ , Addetto Direzione Centrale Ser. Governo Applicativi HR    Alle nostre startup:       A tutti i partecipanti di","1,776 followers"
"I've had an incredible 9 weeks as a Digital & Global Business Operations Project Management Intern at Dell Technologies! Here are some of my most impactful memories:    🎯 Project    This summer, I worked on ’s team to help make our in-app digital sales enablement tool robust and accessible before it deploys to sellers more internationally. It was a great opportunity to learn project management skills of understanding stakeholders' needs along with creating and revising project goals. It was also a cool way to put the data analysis and strategic business communications skills I learned in the classroom to use in the workplace.    🎯 Volunteer    Outside of my project, I volunteered to give a self-care workshop to teenage girls in halfway houses at the . , , , and I presented on the importance of mental health, strategies for self-care, the power of our words, and strategies for consistency in self-care. It was an incredible opportunity to give back and educate on a topic that's crucial to all of our lives. It was also inspiring to get to know and lead with such powerhouse women who are passionate about uplifting the community!    🎯 Hackathon    During our in-person week in Round Rock, TX, I participated in a 24-hour hackathon with , , , and . We were tasked with providing a solution for a real-life pain point faced within Dell Digital. As project manager, I helped my team come up with the strategy to automate the process of using skill ratings to match new hires in the ITDP rotational program with managers. I had a great time seeing how my teammates' and I's various skills put together helped us achieve a working solution in under 24 hours.    🎯 Relationships    It's been incredible meeting so many people on my team, across different orgs, and in different roles. I can't say thank you enough to everyone who took the time to meet with me, and to everyone who helped me reach success this summer. HUGE thank you to , , , , , , , , and to all the other phenomenal people I've met and had the pleasure of working with this summer!","Technology, education, and social impact leadership. Informatics with Interdisciplinary Honors at the UW iSchool."
"Il Poligrafico e Zecca dello Stato Italiano ha lanciato il suo primo #hackathon!  Per coinvolgere #talenti e #startup su temi core della lotta alla #contraffazione e la #sicurezza a protezione delle eccellenze del e non solo  A Foggia con partner importanti sul territorio    Fare innovazione e farla al Sud coinvolgendo e dando opportunità a giovani talenti, una sfida che si puó vincere!",Amministratore Delegato e Direttore Generale - Istituto Poligrafico e Zecca di Stato
"The 2022 Dell Technologies Singapore Internship is officially over. We hosted over 40 interns for a span of 3-4 months. The interns participated in over 25 events during their internship – executive speaker series, hackathon, global intern networking sessions, trainings, community service and socials. Our favorite events were the hackathon, office pizza parties and kayaking on the Singapore reservoirs.    The program was made successful in large part to the amazing core team and the energy and enthusiasm of all interns that participated. Looking forward to next year's internship program!","4,240,298 followers"
"È nato Talent Garden Bari! 🥳    La Puglia è uno degli #ecosistemi più effervescenti a livello nazionale, e con 686 startup è al nono posto nella classifica nazionale per numero di imprese innovative  e la provincia di Bari ne è la capofila. 🚀    Il nuovo spazio nato grazie alla collaborazione con e , rappresenta un tassello significativo nell’importante sforzo del territorio di creare ambienti, relazioni e opportunità di formazione e crescita professionale per i giovani e i professionisti di qualsiasi età.     La prima sede di Talent Garden del sud Italia, da luce a un concept totalmente nuovo:  Uno spazio di co-learning polifunzionale, ad accesso libero, che si prepara a essere epicentro di innovazione e formazione.  Il progetto nasce per rispondere alle politiche di sviluppo del Sud che non possono prescindere dal digitale, e per dare a innovatori, startup e aziende gli strumenti e le competenze per promuovere una trasformazione anche all’interno delle aziende più tradizionali.    Al centro delle attività del nuovo spazio di co-learning, programmi  formativi in ambito Digital Education, Deep Tech e Open Innovation pensati per rispondere alle esigenze del territorio, inoltre Hackathon, giornate di networking e workshop accompagneranno aziende, startup e innovatori nel loro percorso di crescita e trasformazione digitale. 💻    Inizia così una nuova entusiasmante avventura! 🔥🙌      .   ","78,689 followers"
Sta per iniziare l’ottava edizione dell’#Hackathon Var Group!  I partecipanti avranno 32 ore di tempo per realizzare progetti innovativi in abito WEB 3.0. partendo da esigenze reali di aziende leader del panorama italiano e internazionale.  Il tutto con il supporto degli esperti di .  Buona fortuna!           ,862 followers
"Alhamdulillah, I am extremely glad to share that I have completed my Certification of Web and Mobile App development from Saylani Mass IT Training Program and by the grace of Almighty Allah achieved #3rd_Position in the 12-hours Final Hackathon.  I would like to pay gratitude especially to my teacher who made it possible.  I also want to thanks to my other trainers muhammad saad ali and    Special Thanks to for this opportunity❤❤🔥🔥    Also Thanks to Dell and M&P for awarding 11th gen laptop ❤❤",Student at NED University | Software Engineering | Web Developer | MERNStack Developer from Saylani Mass IT Training
"Sono felice di annunciare di aver partecipato ed aver vinto, insieme al mio team, il mio primo Hackathon ed una menzione per l’impatto culturale, rispondendo alla sfida ambientale lanciata da FIRM con il progetto “RESTITUTA”riguardante l’upcycling delle plastiche in mare.           [English] Happy to announce that I have won my first Hackathon and a mention for the cultural impact. My team and I responded to the environmental challenge launched by FIRM with the project “RESTITUTA” concerning the upcycling of plastics in the sea.",Laureanda in Scienze della comunicazione
"🚀 Due giorni per immaginare soluzioni innovative nel campo del teleriscaldamento!     Questo l’obiettivo di “𝗛𝗮𝗰𝗸𝗮𝘁𝗵𝗼𝗻 𝗖𝗮𝗹𝗼𝗿𝗲 𝗶𝗻 𝗥𝗲𝘁𝗲” l’iniziativa rivolta agli studenti del 4° e 5° anno delle superiori organizzata da , in collaborazione con l’associazione , per celebrare il 50° anniversario del Teleriscaldamento a .     🏆 I tre progetti vincitori i cui team sono stati premiati alla presenza dell’Assessore all’Ambiente del Comune di Brescia , sono stati:     💡 𝗦𝗧𝗘𝗠 𝗜𝗡 𝗧𝗛𝗘 𝗪𝗔𝗧𝗘𝗥 (𝗜𝗧𝗜𝗦 𝗖𝗮𝘀𝘁𝗲𝗹𝗹𝗶) per la challenge ‘Integrazione delle fonti di calore con le reti di teleriscaldamento’  💡 𝗚𝗥𝗘𝗘𝗡 𝗠𝗨𝗦𝗧 𝗚𝗢 𝗢𝗡 (𝗜𝗧𝗜𝗦 𝗖𝗮𝘀𝘁𝗲𝗹𝗹𝗶) per la challenge ‘Nuove forme di efficientamento energetico con partecipazione attiva della comunità studentesca’  💡 𝗥𝗔𝗗𝗜𝗢 𝗦𝗣𝗘𝗔𝗞𝗘𝗥𝗦 (𝗟𝗶𝗰𝗲𝗼 𝗚𝗮𝗺𝗯𝗮𝗿𝗮) per la challenge ‘Comunicazione e sensibilizzazione sulle opportunità del teleriscaldamento per informare e formare tutta la comunità cittadina’     🤝 Congratulazioni a tutti gli studenti per l’impegno e per aver messo a disposizione la loro creatività e voglia di sperimentare al servizio della città!   ","118,517 followers"
"L'Ad, Francesca Reich, ha presentato #HackTheFake, primo #hackathon focalizzato sul tema centrale della #tracciabilità e #anticontraffazione specie a difesa delle eccellenze produttive italiane, in collaborazione con Università degli Studi di Foggia e .    📅 Il 22 e 23 ottobre startupper, studenti, professionisti e appassionati di tecnologia si sfideranno nella progettazione e realizzazione di soluzioni innovative a tutela dal  .    Hack the Fake si terrà nel nuovo  presso il nostro  produttivo di Foggia, che si candida a diventare un in ambito di    Per partecipare iscriviti subito  👉","12,226 followers"
"Aaaaannndd we're done! We have completed the first RePublic High School hackathon with the LocalTek-Thrive students! Over 150 students participated in this hackathon led by Charles Apigian and the Belmont Data Collaborative on ""What Makes a SuperHost?"".    and I (Holly) saw students engaged with our volunteers and with each other, answering questions, and SOLVING PROBLEMS WITH DATA! Thank you so much to all of the Volunteers, RHS teachers, and community members that made this a success! We appreciate you!    , , , , , , ,    Volunteers Not pictured:      Like TEN students!!      BIT-Nashville Board Members:",946 followers
"🗓 #SAVETHEDATE: Climathon, 18 ottobre 2022    📌 Cambiamenti climatici, energia pulita, città sostenibili: questi i temi di , un hackathon dedicato alle imprese organizzato da e nell’ambito del progetto Life ClimAction.    🎙 Attraverso un'esperienza online – immersiva e interattiva – potrete trasformarvi in reporter chiamatə a testimoniare gli effetti catastrofici dell’ e a ragionare sugli obiettivi 7, 11 e 13 dell’Agenda 2030.    ➡️ Per iscriversi:  [Riservato alle imprese - I posti sono limitati]","4,945 followers"
"In March 2022, I have participated in Dell #Hack2Hire2022 organized by Dell Technologies.    It was quite challenging for me as I need to handle my university assignments and competition at the same time. But the good thing that I have taken away from this hackathon is the and that I learned from my team members. Especially when it comes to the knowledge that I never learned before, I have to learn myself in a limited time and it was also my first time designing the user interface to be a front-end developer. Special thanks to my team members for guiding me to make a whole complete project as well as all the mentors that gave us advice. Even though we didn't win, I am overall more than proud of the great effort that we put in during this hackathon. After this, I would definitely brush up on my knowledge and skills to become stronger in the future.    Lastly, congratulations to all the winners. Looking forward to the next .",Final Year Software Engineering Student | Bachelor of Computer Science | Aspiring Software Engineer | IT | Software Development
