,Post
44,"This week I participated in my first hackathon, Citi HackOverflow 2022 Singapore. This was a week-long hybrid hackathon which took place from 8-12 August.

Our project revolved around Sustainable Investing and our solution, InvESG, aims to raise awareness about ESG Investing. We calculate a customer’s ESG score from a simple questionnaire and we are able to recommend them companies whose ESG values are in-line with them. Moreover, customers are able to also do another questionnaire which will assess their risk appetite and InvESG will recommend an investment portfolio. We used Python Flask for our backend and used ReactJS for the frontend.

We are pleased to announce that out of 24 teams, we were able to clinch the second position in this hackathon 🙂.

I would like to thank these fellow top lads : Brayden Leo Joel Seah Shun Hui Lee Rohan M.. It has been a great experience working with you guys throughout this hackathon and its heart warming to know that our late-night coding sessions has been fruitful.

Also, thank you Citi for organising this hackathon. We thoroughly enjoyed participating in this hackathon and we have definitely learnt a thing or two about Wealth Management 🙂

#CitiHackOverflow #hackathon #sustainability #wealthmanagement"
45,"Look forward to mentor startup teams at National University of Singapore for #GroundZero2022! I love hackathons and benefited from mentorships at these events.

Thank you NUS Entrepreneurship Society for creating space for me to give back as an alumni!

#AcceleratingInnovation"
46,"That's a wrap!

Thank you NCS Group, vLookUp and Girls in Tech (Cross-Polytechnic) Singapore for organising this hackathon 🧡

Happy and proud to say that SAM 4.0 strive and won 1st runner up for Emprowering Girls in Tech Hackathon 2022!!🎉

A big thank you to my amazing team Shina Shih, Yee Teng Tay and Ainsley Cabading. It's been a crazy 2 weeks with you all and from strangers we became closer ❤ I'm proud of us 🧡

We also couldn't have done it without our mentors Vijay Nayudu and Claris Z. who took their time to meet us and stayed with us from start to end, from morning till night 🧡

Talented females left and right were there as well, a big shout out to the females in NCS Group, vLookUp and the other girls in Girls in Tech (Cross-Polytechnic) Singapore ❤

I'm very grateful for this opportunity to meet these girls and all those that helped us 😊

#girlsintech #Tech
NCS Group
vLookUp
Girls in Tech (Cross-Polytechnic) Singapore"
47,"And that's the wrap of the in-person >hackathon_ here at the Microsoft Singapore office. Could not have got it any better than the President of Microsoft Asia himself, Ahmed Mazhari giving the teams a visit on Day 2 and boosting our morale by putting those words of inspiration!!
#hackathon2022 #microsoft #singapore #asia #inspiration"
48,"Last month, my team, WhaleFood participated in What The Hack 2021, an annual hackathon held by the Singapore University of Technology and Design (SUTD). It aims to bring people of various disciplines together to find innovative solutions to meaningful real-world problems with the theme this year - Environment. 

We walked away with the Best Design Hack Award with our product idea and website, 'See Turtle', a robotic turtle designed to filter out micro-plastics in the waters that are doing invisible damage to the marine wildlife community through ingestion.

This was a fulfilling and enjoyable 24 hours experience. I would like to thank my competent and effective team members - Rayner Loh , Zechary Au, Christian Teo, and Amos Liew that have worked really hard around the clock through this journey! We learnt to use new technologies such as CAD to model our product despite having no prior engineering background, while simultaneously building a functional website. We are satisfied with the product and are humbled that these efforts were recognised.

You can check out SeeTurtle here: 
https://lnkd.in/gGtDErWz

A big thank you to SUTD WTH 2021 organising committee for making this opportunity possible!

NUS Computing
NUS Business School

#environment #wastemanagement #microplastics #tech #webdevelopment #hackathons"
49,"In the digital world, machine is learning to perfect its AI capabilities and human has to learn, unlearn, and relearn to stay relevant.

I had the opportunity to join “Digital Transformation and Change Management” program, a unique “biz-tech” world-class 6-month full-time program condensed with two years worth of learning, created by the DigitalBCG Academy leverages on BCG’s industry experts who are at the top of their fields.

#DigitalBCG currently houses 7,000+ experts spanned across three specialist groups – BCG Gamma, BCG Digital Ventures and BCG Platinion.

The DigitalBCG Academy was established to provide a platform for BCG experts to share their knowledge and have trained 15,000+ people in digital, data and agile skills in recent years.

Boston Consulting Group (BCG) is a global management consulting firm, a pioneer and thought leader in business strategy.

BCG approach to digital transformation is focused on building bionic companies: organizations that blend digital and human capabilities—and apply them to all aspects of their business.

The program focused on application and experience-based learning with real companies. We had the opportunities to work on real business cases with large corporations such as: Olam and Singapore Airlines in our Hackathon and Capstone projects.

It was an interesting program in my life-long learning journey.

View my verified achievement from RISE by DigitalBCG Academy.
https://lnkd.in/gtYyWcw4

#DigitalTransformation #ChangeMangement #bcg #bcgrise #RISEwithRISE"
50,"WhaleFood 🐋🍔, our hackathon team, had the opportunity to participate in What The Hack 2021, an annual hackathon 💻 organized by Singapore University of Technology and Design (SUTD). It aims to bring people of various disciplines together to find innovative solutions to meaningful real-world problems with the theme this year - Environment 🌳. 

I am proud to say that WhaleFood has finally clinched our first ever award ✨! We were awarded the Best Design Hack Award 🔥 with our product idea and website, 'See Turtle', a robotic turtle designed to filter out microplastics in the waters that are doing invisible damage to the marine wildlife community through ingestion 🐢.

This was a fulfilling and enjoyable 24 hours experience. I would like to thank my competent and effective team members - Zechary Au, Jess Raphael Ong, Amos Liew, Christian Teo that have worked really hard around the clock through this journey! We built the frontend with Next.js, TypeScript, and Tailwind CSS together with a CAD to model our product despite having no prior engineering background. 🦧

You can check out SeeTurtle here: 
https://lnkd.in/gkjZvj4g

A big thank you to SUTD WTH 2021 organizing committee for making this opportunity possible!

Our team members are from NUS Computing and NUS Business School.

#environment #wastemanagement #microplastics #tech #webdevelopment #hackathons"
51,"When we planned the Singapore Blockchain Week 2022 in the early part of the year, we had modest targets in mind. The final numbers came in much better than we expected!

The five-day event attracted 8,342 attendees from 68 countries and over 700 organizations, including 36 exhibitors and more than 110 speakers. The week-long series included a Web3 hackathon co-organized by Blockchain Association Singapore, Morpheus Labs and Huawei Cloud, the SGBCW 2022 summit, two master classes, two innovation lab showcases and a career fair jointly hosted by the banking and financial services union, Blockchain Association Singapore, NTUC, E2i, and Global Financial Institute, as well as other fringe events for corporate and individual members of Blockchain Association Singapore. 

In addition, S$120,000 was also raised during the Blockchain for Good Gala Dinner, graced by the Guest-of-Honour, Mr Desmond Tan, Minister of State, Prime Minister's Office and NTUC Deputy-Secretary.

Again, a big thanks to the advisory board, volunteers, exco, members, speakers, sponsors and attendees of SGBCW 2022!"
52,"Thrilled that my team and I from NVPC - Towards a City of Good got to support the 2022 MindfulHacks, Singapore's first Mental Health-themed Student Hackathon.

Huge shoutout to Tony L. (CampusImpact (Yishun)), Suria Basri (CARE Singapore), Asher Low (Limitless) for coming down to candidly share your thoughts on these 3 ""burning"" questions with the youth participants:

✍️ What are some current challenges with regards to mental health that you've observed?
✍️ What are the current “gaps” and “impact areas”?
✍️ How do you possibly see technology coming in to address these gaps?

And to Timothy, Founder of MindfulHacks, thanks for reaching out and entertaining the idea of a parallel segment amidst the already packed programme for the day!

https://lnkd.in/gu-U_YrQ

#MindfulHacks #mentalhealth #hackathon #innovation #communitymatters

Elysa Chen, Anthony Chng"
53,"“A Journey of a thousand miles, begins with the first step”. In the last two months, my team has had the privilege, opportunity and challenge to in the first Psychology-themed hackathon organised by the Singapore Psychological Society: Psychathon 2022. What started off as an attempt to gain a unique experience in participating in a hackathon soon turned into an interesting journey of developing real-world solutions to improve the lives of Singaporeans in the post-COVID era using the teachings of Counselling Psychology.

The outcome was the cumulation of 2-months of careful planning, innumerable hours of meetings, and uncountable late, late nights of discussion to birth our preventive programme entitled “Project Helix”.
With the current emphasis of enabling mental resilience in mind, Project Helix takes on a preventative, non-pathologizing approach in engaging with Singaporean youths - pulling and integrating novel as well as well-tested practices in the Counselling Psychology world such as peer support groups and Positive Psychology concepts- to imbue in them concepts as well as relevant skills to strengthen their mental resilience, to support their peers as they navigate the uncertainties of a post-COVID world.

We were pleasantly surprised, overwhelmed and ecstatic when our hard work paid off, and our proposal went on to achieve the winning title within the category of Counselling Psychology.

While the results are worth celebrating, Ralph Waldo Emerson’s words ring true: “ its not the destination, it’s the journey”, that bears the greatest value. The last two months, however arduous and demanding, have given us opportunities to gain an even deeper understanding of the field of Counselling Psychology, and how other fields such as Positive Psychology relate and apply in the collective umbrella of Psychological knowledge. I am honoured to work with fellow like-minded individuals who forged a great team as we applied what we’d learnt in our modules into real, world contexts to develop solutions that offer the potential to improve the moments, lives and wellbeing of many.

On this note, I sincerely thank the Singapore Psychological Society for their tireless efforts in hosting this event, as well as our Mentor, Mr Carlin Lee , for sharing his experience, unique perspectives and valuable advice. Most importantly, I am grateful to have met and worked with my teammates, Melissa Chow , Morgan Lim, and Tan Rong Hui, and the experiences and journeys together will never ever be forgotten.
Lastly, I would like to also extend my gratitude to Jeremy Ho, my mentor from the SomethingNew App for his introduction and guidance in the Solution Focused Brief Therapy as it has been one of the key inspirations behind this programme.

I guess the next question is: having taken the first step, how can this Journey be continued, consolidated and completed? 👀
Watch this space.

#psychology #Psychathon2022 #counsellingpsychology #postcovidworld"
54,"It’s a wrap of HackFest 2022 at Google, Singapore on 21 May.

Our hackathon was a huge success as the “Hackers” from different tertiary institutions across Singapore presented their exciting and groundbreaking ideas.

It was an amazing collaborative event with Aishwarya Singh from GDSC Nanyang Technology University (NTU) to present the 13-day hackathon that designed to encourage innovation in students towards leveraging technology to build hacks that create an impact in solving one or more of the 17 UN SDGs.

Thank you Julius Uy, Weiyuan Liu, Saurabh Arora, Thye Yeow Bok, Hassan A., Hairizuan Noorazman, Jirawat Karanwittayakarn, Richard Lee, Joshua de Guzman, Shang Yi Lim, Yong Shean Chong for your part in making our HackFest 2022 such a success. Without you, this event wouldn’t be possible.

A huge thank you to 💻 Rachel Sau Han L. and Janise Tan • 陈美璇 for supporting us and giving us this opportunity to host our event at Google, Singapore.

#Google #GoogleDevelopers #GDSC #17UNSDG #UnitedNations #SustainableDevelopmentGoals"
55,"One of the many fun moments at J.P. Morgan #codeforgood in Singapore Technology Center! Celebrating 10th year of #techforsocialgood
hackathon!

Edward B. Emily Liew-Campbell Gajendra Agrawal Sudhin Bhobe Mridula Nair (she/her) Anshuman Magal Madeline Hutchinson Ali Marano Vijay Baskar Charles Lim Anwar Mohamed"
56,"Over the past 2 months, my team and I have been focusing our efforts towards participating in Singapore Psychological Society's first Psychology Hackathon. We had to propose a viable, real world solution to the question of ""How can we apply psychology to improve the lives of Singaporeans in a post-Covid world?"" Initially we were lost, and a little fearful of how we wanted to unpack this extremely broad question. However, after much deliberation and brainstorming we finally settled on an idea. Fast forward 2 months, the hackathon has concluded, and we are proud to emerge as winners for the sub-category in the Counselling psychology!

The process of crafting and building our ideal intervention programme has been a very fruitful one, and we have learnt a lot from this whole experience. We would like to thank our counselling psychology mentor, Carlin Lee for guiding us along the way and providing us with productive advice in improving our ideas. Additionally we want to thank SPS for holding this event and the sponsors for providing the prizes. Last but not least, thank you Morgan Lim, Tan Rong Hui & Bin Ng for being the dream team in working together, I really appreciate all of you :)

#psychology #research #hackathon2022"
57,"Great event at Crypto Expo Thailand 2022 which took place in Bitec Bangna, Bangkok last week. We shared topics on Future of Crypto in a panel discussion !

So excited and thrilled to see physical events starting to pop out in Southeast Asia. And i’m more excited to have our own event & hackathon happening in July in Singapore !! Do PM to find out more!

Special mention to my fellow panelist and friends who joined the event ! Pei-Han Chuang 莊沛翰 Nicole Nguyen Sourabh Kumar Ain Mohd

#event #future #crypto #blockchain #web3"
58,"Thank you GovTech Singapore for hosting the amazing GeekOut Hackathon 2022 event. I really enjoyed myself. Being able to meet like minded individuals in the interest in technology.



#GeekOut2022"
59,"It is really honored to join this journey with my teammate JiaJun Hu by representing the School of Computing, NUS #NUSComputing in the Huawei Cloud Spark Hackathon 2022 #huaweispark Huawei Cloud APAC Huawei Singapore. And, we are so excited to receive this GRAND WINNER among all 190+ teams in the Final on April 8.

Sincerely appreciate the advice from Leo, Nuo Jiang Alexis Lee in the Final. Looking forward to further cooperation in the future.😊 #huaweicloud #Huaweispark

https://lnkd.in/eyvw5wu7"
60,"Last gig for 2021!

With the Society of Interior Designers Singapore (SIDS) Design Convention 2021 and the SIDAwards 2021 coming to a close last Friday, 2021 is a wrap! 

It was much fun on stage to be the moderator at the SIDS Design Convention 2021. To dialogue with like-minded designers such as Kok Thye Tang, Kelley Cheng and kelly chin (learnt more blockchain and Green Mark!) and see students light up when they hear their names being called for their winning entries.

I always have to remind myself to go slow and enjoy the stage. On stage, I'm like a duck on water. Paddling furiously beneath, but still and calm above the water line.   

I'm sure everyone would agree that the last two years feels a bit of a blank. In these last weeks of 2021, I attempt to pause to BE and not DO. 
 
In hindsight, it's been a fruitful endemic (pandemic?) 2021. After a stint with DesignSingapore Council over the new year, I am back teaching the Year 3s for their Final Year Project and the calling to nurture and help is strong. New curriculum(s) and initiatives to come. I am so thankful for the Singapore Polytechnic DID Teaching Team for their trust and professionalism, proud of our resilient students. They never fail to surprise me, even after teaching for so many years. 

We appointed new Singapore Interior Design Accreditation Council (SIDAC) - Student Chapter Office Bearers in April and this is our most diverse team ever (one per IHL in fact!). I am thankful for the support from all the like-minded tutors from all the IHLs that have come forward to support and lend a supporting hand. With my partner in crime, kelly chin, we wouldn't have been able to pull off a physical student exhibition at SID Fest, a webinar and a design hackathon! You guys rock! 

The Singapore ID Accreditation baby has been born after three years and it's time to let this baby grow. Thank you to Keat Ong 王胜杰 for his perseverance and his trust. I am so thankful for the Taskforce members for their diligence amidst working full time. The SIDS Secretariat's dedication is an inspiration.

SIDS has given me and students much space to play. A mentor, a leader, a team player, a judge, an Honorary Treasurer and Vice-Chair of Singapore Interior Design Accreditation Council (SIDAC). A massive thank you and may the various children of ours grow to its full potential!

Exciting things to come in 2022.
Keep safe and a Merry Christmas and a brilliant New Year to all! 

That's all folks!

#designleadership #designeducation #interiordesign #galadinner #gala2021 #awardsceremony #designcommunity

"
61,"I have been called ""monster Mommy"", years ago, by my daughter's Primary school classmates when she was 8 years old. Just because I was a tough mother, who refused to help with homework, and let her get scolded by teachers for forgetting to bring textbooks (I knew of mothers who bought 2 sets of everything, leaving 1 set in school and the other at home, so that their kids never got caught out). It's called building grit and resilience from young, teaching independent responsibility.

But I've also been called ""Jedi-Mama"" by clients who appreciated my tough style of ""parenting"" and educating for Process Engineering exercises (some of them telling me it was one of the hardest things for them to do, because it called for such introspection). I love working with people, and teams too, to guide a thought process or enquiring mindset towards problem solving.

So, it was really fun recently, to go into ""Mommy"" mode again and moderate a panel discussion by our dynamic young Legal Technologists at Rajah & Tann Technologies, for the Singapore Management University Legal Innovation&Technology Hackathon, on what a future in legal technology could look like. Kudos to Low Wei De Ben, Ravleen Khaira, @NoraEmalina for their insightful and entertaining contributions to the conversation.

Process Engineering isn't easy, but it is worth the effort. It's just one of the many solutions and tools out there in the LegalTech landscape that is going to change the future of practice.

#innovation #technology #processandtech"
62,"Pleasure to participate in a judging panel for Dementia Hackathon today at Kampung Admiralty Community Plaza, alongside fellow esteemed panelists Wang Yu Hui, Dr. Phillip Yap, Kenny Hong, Dr. Pan Zhengxiang Jedi, PBM, Dennis Quek.

Sembawang West, in collaboration with Republic Polytechnic organised the Safe in the Woods Hackathon (Preventing and Delaying the Onset of Dementia Among Seniors in Our Community) to develop sustainable environmental and/or technological solutions to make the Sembawang West Division dementia-friendly. 16 teams (75 students) from Republic Polytechnic registered for the Hackathon which took place from 8-11 September.

Singapore Pools is a sponsor of the event, hosted by Li San Poh and Mariam Jaafar, and graced by Minister Ong Ye Kung. The finals on 11 Sep consist of presentations from the final 6 teams. Great ideas and great pitches from all the teams!

Dementia is a significant challenge, especially in an aging demographics like Singapore. It is estimated that we have 100k diagnosed patients. And Dementia is an irreversible and crippling disease.

As always, we want to start with awareness, beginning with our youths, and thus this hackathon event.

We should also learn to identify Dementia patients with ABCD, so that we can render them proper care:
- Activities (inability to perform)
- Behavioural Changes
- Cognitive Decline
- Disorientated

Looking forward to the initiatives proposed by the hackathon teams.

#dementia
#hackathon"
63,"A hackathon noob's experience after taking part in 2 hackathons in 5 months:

During my first hackathon in September 2021, I had no idea how to build a proper website, let alone a fully functional app. Our team pieced together a crude prototype with jquery and bootstrap. We didn't know how to build a proper backend and racked our brains on how to use django together with a javascript front-end (it did not work at all btw).

Fast forward to January, I got a chance to work with some amazing people at Open Government Products, GovTech Singapore to participate in their annual hackathon as a co-hacker. It was a humbling but insightful experience, getting to know how experienced software engineers approach a new project, and I learned so much!

Come 2022, I look forward to what the future holds as a developer, and for many more hackathons to come!"
64,"It was exciting and inspiring to mentor Polytechnic students for a Hackathon conducted by Land Transport Authority (LTA) Singapore in association with Pollinate Incubator Thank you for giving me this opportunity and congratulations to the winners and everyone who participated on behalf of Perfomatix family. Really amazed to see such exorbitant talents who are in store for the future.
.
#buildingfuture #mentorship #hackathon #students #singapore #perfomatix"
65,"What a Thursday!! Started with an early call to check in on our global Hackathon and the energy across Shanghai, Singapore, Melbourne, Sydney,+ was so inspiring - developing app’s to solve business problems in a day…
Then I met our 71 year old warehouse manager at Yamaha - He is still as active as when he started work at the site more than 40 years ago. When I asked him when he plans to retire and enjoy a more quiet pace, he said “never” - and then he told me that he also runs a rice farm in his home in North Thailand. Age is just a number…
Next was a lunch with the Yamaha leadership team and got a deep insight into their challenges with supply Chain and Covid - and how despite that, we have been able to deliver their motorcycles at more that 97% DIFOT.

And then a visit to our emerging South East Asia 24/7 control room (I call it center of excellence) where we monitor real time what is going on across our transport fleet in countries like Thailand, Malaysia and Vietnam : speeding incidents, hard braking, appropriate rest breaks and any emerging problems on their routes. And most exciting, a system built by our local team solving a regional problem. The power of great people.. a big shout out to our Thai team who managed to get all that - and some more - into a full day before getting on a plane back to Singapore. #supplychain #transport #proudtobetoll #team"
66,"Happy to share recent success our team have had winning the ""Top of the Quants"" at the Singapore Finale of Bloomberg & CFA Hackathon with our first fully integrated Quantamental Analysis Toolkit

Looking to the Future of Investing

A brief article on the thought process and outline of winning application in the article.

If investment firms looked at themselves like they do their investments, they would spend less time touting past successes and more time explaining how they are evolving to win tomorrow. With this as context, fundamental investors integrating aspects of what quantitative investors do well – and vice versa – is not something to be debated, but something that should be actively explored. After all, it stands to reason that other firms are doing some things better than you. Learning what that is – and how it can be re-purposed for your own needs – is a big part of how any company stays ahead of the competition, investment firms included.

The logic of quantamental investing is simple. Well-trained human analysts can understand how the future may look different than the past - think of changing industry structures, emerging technologies, shifting company positions or new industry regulations. In these situations, machines focused on historical data are at a disadvantage.

On the other hand, well-developed computer models are unmatched in automating tasks, analyzing how the past may predict the future and identifying anomalies (i.e., automation, prediction, detection). No human can match an algorithm’s ability to vet millions of data points in such a manner. Uniquely integrating both presents a logical opportunity.

Success will require more than hiring some people and telling everyone to get to work, however. To be successful, each firm faces a similar but distinct challenge: discover how to best integrate these methods given their unique objectives, skills and experience.

The firms that figure that out are likely to outperform.


Thanks to the team Jayesh Chandra Gupta Louis Shen, CFA, CFP Vaivasvat Manu Tripathi Tathagata Bhar. Also big thanks to Alexandre Alesi for continued support!

#investing #team #success #data #people #investments"
67,"“Empowering Girls In Tech”

It was purely exhilarating to see our plans coming live on a bright and beautiful Saturday morning - our first inaugural hackathon organized by Girls in Tech (Cross-Polytechnic) Singapore, NCS Group, and vLookUp.

This hackathon was seeded with the motivation to further expose our young to how a tech career goes beyond the roles of a programmer or engineer.

Huge thanks to Lance Foo, Wynthia Goh, Kanchana Gupta, Lea-Eng Cheong, Cherie Kiew, Valerie Ong, Evelyn Yeo, and Victoria Teo Wei Xuan.

To the girls, don’t let this opportunity go! I wished I could join and be in for an experiential journey to NCS’s Innovation Centre in Melbourne or Shenzen too!"
68,"Before I spoke at the Climate Change and Sustainability Hackathon event yesterday, (by the UK Singapore Universities Alliance for Entrepreneurship and Innovation or UKSAEI), I used to think that #sustainability is nothing but a scorecard objective for corporations: do some CSR, donate to some cause, and you have proven yourself as a sustainable brand.

With recent experiences building up #startups and innovation ideas as Wildcats.io, I discovered that Sustainability is becoming integral to the missions of the next wave of business #innovation, and no longer a 'side dish' to the main course of business.

I shared the journeys of KIM Chanamrithvatey and Vong Oudom building a Circular Recycling business in #Cambodia, Anjelo Alonte's passion for content and wholesome foods, and the winning ideas from Wildcats.io's recent #MySummerStartup challenge, which surprisingly all revolved around waste reduction, reduce/reuse economy!

And my conclusion after the sharing and discussions? Sustainability as a Business Goal can be a true #differentiator for a business in ANY industry, if the founders genuinely believe that their actions will eventually make them Desirable, Feasible, and Viable.

All the best to the teams in the Hackathon! May you find a topic you're passionate about, and a problem that can be solved with sustainability in mind!

Thanks Michael Yap for the opportunity to share :)"
69,"Siew Choo Soh changed the game for digital in Singapore previously and has launched tons of hackathon and uplifted her org's digital talent pool. For friends in Malaysia, if great engineering is what you are seeking, I would recommend that you check this out!"
70,"We placed 3rd 🏆 in the Enthusiast Track of Singapore Blockchain Innovation Challenge 2021!

Over the past week, my team and I (Maaruni Pandithurai, Yun Waddy Soe) participated in Singapore Blockchain Innovation Challenge 2021, organised by Singapore Blockchain Innovation Programme, and emerged 3rd!

The theme for the hackathon was cross-chain interoperability with a strong focus on user experience. Our team built a simple NFT marketplace for the rental and listing of bicycles. Each bicycle is represented as an NFT on an L2 bicycle chain. On top of corporations, individuals with bicycles sitting around can list their bicycles on the chain, earning them extra income and giving power back to the people! Users can then rent bicycles by connecting their Ethereum (L1) wallet to the marketplace! This not only removes the hassle of downloading specific applications for rental, but with direct linking to their Ethereum wallet and the immutability of records on the blockchain, it can enforce stronger accountability on riders, leading to a more sustainable bike-sharing/rental community.

This hackathon gave us a deeper appreciation of blockchain technology and its applications, from relay chains and Polkadot bridges to writing smart contracts using solidity. This has been a great launchpad for us in our DeFi journey.

We would like to thank our mentors, Jason Liew 🚀 from Bybit and Kunpeng Ren from National University of Singapore, for the insights and thought-provoking questions during our mentor session! 

We would also like to thank Singapore Blockchain Innovation Programme for organising the hackathon and providing us with this platform to learn and grow! 

What a great way to end off 2021!

#blockchain #innovation #defi #fintech"
71,"I am honoured to announce that this summer (24/7/22 – 28/8/22), along with my outstanding team SEAT members (Shenyi Cui Emmanuel Ang Terence Poh), placed 1st amongst 110 other teams across the world in the Singapore Airlines AppChallenge 2022 (Tertiary Track).

Our project used TensorFlow Recommenders A.I., which considers user-profiles and preferences to recommend activities, accommodations and other ancillary services to users post flight booking. We aimed to leverage our A.I. recommendation system to create a stickier ecosystem and ultimately increase the revenue streams to the Singapore Airlines Group. Our solution was served directly to the users with a friendly Progressive Web Application (PWA).

As a U.I. designer and developer on the team, I experimented with new workflows, such as focusing on producing a feasible design early on before handing it over for development. The new workflow significantly reduces the time needed to develop the minimal viable product (MVP). Aside from that, I designed and deployed a Flask application to process the data and serve as an API to handle communication between TensorFlow Recommenders and our front-facing web application.

It was an arduous yet fulfilling journey for my team and I. We worked many late nights, juggling school and the project, hoping to produce our best work. I managed to learn from my teammates and other finalists. I am thrilled to have participated and given my all. If given the opportunity, my team and I look forward to furthering the development of the product.

Thanks to Singapore Airlines and NUS Enterprise for organising this hackathon. Special shoutout to Greg Blackwood for increasing the team’s potential through his exceptional mentorship and guidance during the final two weeks of the hackathon.

#singapore #team #SIAAppChallenge2022 #seat #developer #singaporeairlines #krislabs"
72,"I am honoured to announce that, along with my excellent team SEAT members (Emmanuel Ang, Aaron K., Terence Poh), I placed 1st amongst 110 other teams across the world in the Singapore Airlines AppChallenge 2022 (Tertiary Track).

Our project used TensorFlow Recommenders A.I., which considers user profiles and preferences to recommend activities, accommodations and other ancillary services to users post flight booking. We aimed to leverage our A.I. recommendation system to create a stickier ecosystem and ultimately increase the revenue streams to the Singapore Airlines Group. Our solution was served directly to the users with a friendly Progressive Web Application (PWA).

As one of the Product Developers, my role was to translate the business idea into a viable prototype as a proof of concept. Referencing the excellent Figma design created by Aaron K., I coded out the logic and workflow of the application with React and Ionic. It was tough to juggle both this project and the demands of the university; however, the end product was worth the hardship and arduous sleepless nights. 

I managed to learn a lot throughout this hackathon, both from my teammates and other fellow Student finalists. Given the opportunity, the team and I are looking forward to the further development of the product.

We would like to thank the Singapore Airlines Group and NUS Enterprise for organising this hackathon. Special shoutout to Greg Blackwood for increasing the team's potential through his outstanding mentorship and guidance during the last two weeks of the hackathon."
73,"It has been a week since the conclusion of HackFest 2022 at Google Singapore, yet, I am still not over the 13 days of innovative projects, great people, and insightful technical sessions. 

HackFest 2022 was a 13-day Hackathon where students from tertiary institutions across Singapore presented their innovative and intriguing 'hacks' on the UN's 17 Sustainable Development Goals.

The event was a great success, and it was an incredible experience collaborating with Daniel Low from Google Developer Student Club PSB Academy (GDSC PSBA) and his core team. The resilience, resolve, and passion demonstrated by the core team members from NTU and PSB Academy enabled us to host HackFest with tremendous success.

HackFest would have been incomplete without our guest speakers and judges Julius Uy, Weiyuan Liu, Saurabh Arora, Thye Yeow Bok, Hassan A., Hairizuan Noorazman, Jirawat Karanwittayakarn, Richard Lee, Joshua de Guzman, Shang Yi Lim and Yong Shean Chong. Thank you all for your time, efforts, and valuable insights! 

Colossal thanks to 💻 Rachel Sau Han L. and Janise Tan • 陈美璇 for being the pillars of the event and giving Daniel and I the support and guidance to host a successful event!

#google #gdsc #hackathon #googledevelopers #unsdgs #team #event"
74,"In SCDF and Dell's Innovation Lifesavers' Innovation Challenge 2022, my TEAM TAGAR won 2nd Place.

I took advantage of my summer break to participate in my first hackathon - SCDF and Dell's Innovation Lifesavers' Innovation Challenge 2022 - with my TAGAR teammates: Terence Poh Aaron K. Godwinn W. Rachel Ow Yeong

Our project aims to help reduce SCDF Paramedics' cognitive workload by pulling vital information from existing government sources and dispatcher call logs, tagging them with a neural network, and presenting it in an easy-to-read and accessible way. Through our application, we also made case-specific Just-in-Time revisions easily accessible.

Having served national service as a Medic, my team and I understood the benefits of ground-up solutions and paid particular attention to the processes of the paramedics during our ideation. By improving the processes, we then aimed to increase their germane load without changing the way they think or act.

The experience of working with cloud computing technologies and machine learning was brand-new to me. Designing and developing a cloud-native minimum viable product (MVP) in less than 4 days inclusive of containerisation and pushing to Dell's VMware was a challenge. Furthermore, I learned a lot about machine learning concepts related to text classification specifically bags of word models.

Through this experience, I gained essential developer skills such as Flask, Dockers, and Tanzu App. Though I am only scratching the surface of what I can do with my development skills, I am happy to announce that I have found my passion and interest in being a developer. The fact that I participated and gave it my best is extremely rewarding to me.

Special Thanks
Thanks to Dell Technologies and Singapore Civil Defence Force for organising this hackathon. Special shoutout to Eugene Swee and his fellow Dell mentors for their patience and guidance throughout the hackathon. #innovation #cloud #hackathon"
