post,background
#thedogtwins #dogtraining #k9unit #dogsarethebest,Senior Customer Care Representative with FoodScience LLC.Helping People and their Pets Live Healthier Lives. CritterCareVT.com
"Shawn Cain of PCI Pharma Services speaks to Contract Pharma Magazine about the pharma and biopharma trends driving opportunities & outsourcing in today’s market.      Read more about the growing demand for lyophilization technology in support of parenteral products, and the boom of biologics versus small molecule pharmaceuticals is impacting the traditional approach for sterile fill-finish services.","17,406 followers"
"Urgent change is needed to standardise knowledge and treatment creating greater access to the best radiation therapy has to offer throughout the NHS in England. Innovation is crucial if we are to meet the ambitions of the 10-year Cancer Plan, but underpinning this must be a plan to standardise and ensure equality of access to available innovations such as stereotactic radiosurgery (SRS), a highly targeted treatment which is improving outcomes for people with brain cancers and metastases. Read my article to find out more. ",Country Manager UK&I at Elekta
Check out our latest article on how Banyan is celebrating their staff during Nurse Appreciation Week! #nursesweek,"2,495 followers"
"Tableau peut vous aider à sauver des vies. Découvrez comment le don de son rein, il y a neuf ans, a inspiré le chef de produit de Tableau, Mark Shulman, à construire cette Viz qui aide à éduquer et à engager les donneurs potentiels de rein.",Enthusiastic Digital Transformation Enabler in Public Sector & Healthcare at Salesforce
"Here is the seventh edition of our #linkedinnewsletter, FinStep Asia's Web 3.0 TokenBytes Newsletter for all things in Web 3.0, FinTech and DeFi in Asia.  In this edition we look at  a) Metaverse and market developments from HSBC, Standard Chartered, Lenovo  b) Major developments in Fintech & DeFi from Goldman, OneDegree, Samsung, Gemini, FIS  c) Regulatory developments in , , , and from Malaysia, China and Singapore,  d) NFT marketplaces to explore and  e) Must read Web 3.0 Industry reports from MEDICI, PwC, Checkoutcom, BIS, FT Partners, Wealth Mosaic, Thomson Reuters and India InsurTech Association + BCG.    Hit Like, Subscribe and Share :)          .0",FinTech Ballerina | Digital Assets | FinTech | Blockchain | Web 3.0 | Regulatory
"This week is Maternal Mental Health Awareness Week (2-8th May). As part of this, I've written an article about ""Maternal Mental Health in the Workplace"", using my lived experience of postnatal depression as an example.    I would love it if you could read the article, and share it with anyone who might benefit from my reflections.    Most advice that I've found on postnatal depression tends to focus on the person who is suffering, their family or friends, or healthcare professionals. I hope that this article will extend this, and help to bring the discussion into the workplace.    I have some suggestions of how employers and colleagues might help women who are experiencing postnatal depression and other perinatal mental problems, but I don't claim to have the answers. Hopefully this article will spark reflection and conversation within the particular context of your own organisation.    The article includes links to further information if you want to find out more about maternal mental health (and paternal mental health: check out , founded by ).    Definitely take a look at the website of the fantastic Perinatal Mental Health Partnership, who run the campaign ( - founded by ). And take a look at the .    If you have any feedback, insights, or inspirational stories that you'd like to share, please feel free to include them in the comments.",UX Designer @ Qrious | Co-founder of #WomenInTechNE | Code First Girls Ambassador | Mental Health First Aider
"HERA - THE WORLD'S ONLY BACKPACKED DRONE FROM VIETNAM    All backpackable drones ever made have a lift capacity from 1 to 5 pounds max. To serve the majority of use cases, the lift has to be around 30 pounds. Having both backpack portability and a sixfold increase in lift capacity turned out to be extremely challenging. Nobody from giant drone makers to new startups has been able to find an answer.     Realtime Robotics (RtR) is the only drone manufacturer that has successfully tackled this puzzle. Our Hera drone is small enough to fit in a backpack, yet powerful enough to lift 33-lb payloads, mount four gimbaled payloads simultaneously, deliver 360-degree FOV for every payload, and ensure data transparency and security. Hera simply sets the world records in almost all critical features, an unprecedented achievement in drone history.     Follow us on              ",Generalist | Marketer | Planner | Blogger | Activist
"Last week, I had the pleasure of speaking at Open Data Science Conference (ODSC) about FedEx Dataworks and how we are leveraging data from the millions of packages that pass through the FedEx network daily to help make supply chains smarter for everyone. It was a great opportunity and conversation, and for those who were unable to join, I’ve highlighted the key takeaways about how we are transforming the industry in the article below.","Senior Vice President, FedEx Dataworks"
"I share here some of the strategies I hope can help you in your company's journey to continued success. At V-Soft Consulting Group, Inc. we moved from the outbreak and chaos to 25%+ growth in 2021, and our goal is to grow another 30%+ in 2022.",Tech Entrepreneur 💡 Restaurateur 🍛 Vintner 🍷
#leap22 #leap2022,Information Technology Consultant at Nokia
"Successful customer relations go beyond contracts and figures. It’s a human-to-human connection that we nurture by carefully listening to our customers, understanding their needs, and helping them overcome challenges and win advantages. Here we share some of our insights how engineering services can help you bring technologies into life while gaining more benefits for your projects.   ",Senior executive manager Engineering Services | Putting Customer & Business excellence first | Devoted to the passion for Engineering
"We talked about the past, now let’s focus on the future!  Future trends, future topics, future everything...    We understand that in this day and age, there can be too much information at once, especially in fast growing, fast-paced, and fast changing tech industries such as . With the AR/VR/XR race truly on this year – tech giants investing tons, researching new solutions, developing new products (starting from AR glasses and ending up with entirely new universes) – it becomes hard to keep track of everything. To simplify, we introduce to you our personal favorites.    We researched, we analyzed the data and we asked around our swarm, what they think, what will be a big topic for AR and so on. The top 5 svarmony picks is the distilled version of the hottest trends in AR for 2022.  You can read all about these right here.",615 followers
"Read Susannah Schaefer's Reflections and Resolutions for a New Year.    And over the next few weeks, stay on the lookout as members of Smile Train's global community share what they are most looking forward to in their regions in 2022 and beyond.","9,000 followers"
#health #funding #medical #sdoh #research #behavioralhealth #workforce,"Senior Partner, Innovative Funding Partners"
"One of the CX trends Gartner has identified for executive leaders in 2022 is increasing the capability for customer empathy at all levels of the organization. Although often criticized for removing the human touch from customer interactions, conversational AI solutions can actually make your engagements with customers more human and empathetic. They can help your employees and contact center agents support customers' needs sensitively and effectively.","Global B2B Marketer | Forbes Council Member | Women Leaders of Conversational AI, Class of 2023"
"#CES is an urban event in Las Vegas and a carnival for the global consumer electronics industry.    Now CES 2022 has finally been successfully launched. Although I can’t be there in person, I can still feel the enthusiasm of 2,000+ exhibitors for CES from the overwhelming network information.    I collected new product information online and shared it with every friend who is interested in consumer electronics.",Consumer Electronics｜Manufacturer | Mobile Phone Accessories｜Outdoor Electronics｜Power Bank🔹support OEM & ODM
"If Covid-19 pandemic outbreak in 2020 was an earthquake, then 2021 had been a tsunami in the aftermath of the earthquake. We all want to put 2020 & 2021 behind us and start anew in 2022.    As organizations are pivoting into new strategies in 2022, it’s time to reflect the challenges encountered and the contributions made by the C-Suite in navigating the organization thru this severe disruption.    𝗦𝘂𝗿𝘃𝗶𝘃𝗶𝗻𝗴 𝘁𝗵𝗲 𝗽𝗮𝗻𝗱𝗲𝗺𝗶𝗰 𝗲𝗰𝗼𝗻𝗼𝗺𝘆 𝗶𝘀 𝗻𝗼𝘁 𝗮 “𝗦𝗾𝘂𝗶𝗱 𝗚𝗮𝗺𝗲.” It is a game of collaboration rather than a game of competition. It is not necessary to have a star as a single co-pilot to CEO because all C-suite leaders should co-exist as the co-pilots to the CEO.    C-Suite should operate like G-Suite (Google Suite) with dozen of apps co-exist together. It enables true real-time collaboration resulting in united teams, time saved and better business results.    The typical C-suite leaders & roles:  🔴 𝗖𝗘𝗢 (𝗖𝗵𝗶𝗲𝗳 𝗘𝘅𝗲𝗰𝘂𝘁𝗶𝘃𝗲): Navigator  🟡 𝗢𝗽𝗲𝗿𝗮𝘁𝗶𝗼𝗻 𝗦𝘂𝗽𝗽𝗼𝗿𝘁 𝗙𝘂𝗻𝗰𝘁𝗶𝗼𝗻𝘀  ➡️ CFO (Finance): Lifesaver  ➡️ CIO (Info. Tech.): Enabler  ➡️ CHRO (Human Res.): Caretaker  ➡️ CSCO (Supply Chain): Provider  🟢 𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗦𝘂𝗽𝗽𝗼𝗿𝘁 𝗙𝘂𝗻𝗰𝘁𝗶𝗼𝗻𝘀  ➡️ CCO (Commercial): Rainmaker  ➡️ CMO (Marketing): Promotor  ➡️ CBDO (Business Dev.): Developer  ➡️ CCXO (Customer Exp.): Comforter    Survey shows that the top 3 concerns in the C-Suite are the disruption in and .    This article reveals the unprecedented contributions of some functions (Supply Chain, HR, IT, etc.) that are sometimes underappreciated for their tireless efforts in ensuring the availability of funds, products, people, digital toolkit and infrastructure.           You can click on ""subscribe"" to receive notification when I publish new articles in my weekly newsletter every end of the week.",Chief Financial Officer (CFO) | Chief Information Officer (CIO) | CFO Thought Leader | Biz-Tech Finance Professional
"Many of us thought we would be returning to the ""old normal"" last year, but 2021 had other plans. Here are five issues that were top of mind for Contec Professional and are helping guide our strategy for 2022. Are any of these lessons resonating with you and your team?",795 followers
Check out the three commercial refrigeration trends we're watching in 2022. #commercialrefrigeration #foodserviceequipment #restaurants #foodserviceindustry #retailtrends,230 followers
"Proud to lead an amazing team working across #africa, as a key partner in the #healthcare #infrastructure ecosystem.  Thank you for 2021 and looking forward to much more in 2022. Happy New Year",General Manager Sub-Saharan Africa at GE Healthcare
"We interviewed Janna Patterson and Brian Gillett, MD. Check out their insights on VR strategies for improving provider training, competency, and care delivery #EMS #healthcare #virtualreality #clinicaleducation","1,953 followers"
7 resons using email marketing can help your business grow,Supervisor at Hemtech
#grants #fundingopportunity #healthcare #research #behavioralhealth #sdoh #workforce #covid19 #ruralhealth # #health #medicine,"Senior Partner, Innovative Funding Partners"
Time and memory tend to distort even in normal times. Many people have lost loved ones to the COVID-19 pandemic. Many others have lost their jobs. Everyone has seen their lives changed. This article focuses on reflections from sources from within the Civil Engineering Sector from all across the country.,Head of Civil Infrastructure - NY & CT at LVI Associates
"AMEP, TAFE, Chisholm Skills and Jobs Centre and Melbourne Polytechnic feature in today's CCOEI eNews No. 39 (Monday, December 7th). This issue concludes our earlier series on pathways to employment for CALD people in the Eastern Region of Melbourne (see editions No. 30-34). We also offer our regular round-up of news and information on improving social cohesion, better settlement and related multicultural affairs.",The Boite ★ Welcoming Cities ★ Ethnic Communities' Council of Victoria
#drugdevelopment #drugspharmaceuticals #supplychainmanagement #supplychain #biologics #Artificialintelligence #ai #innovation #ai #healthcare #pharma #lifescience #risk #machinelearning #data,"Digital & Organization Transformation Advisor, Program leader, Industry Expert, Trainer and Speaker"
#grants #funding #covid19 #nonprofit #healthcare #behavioralhealth,"Senior Partner, Innovative Funding Partners"
