,User,Tweet,paper_text_processed,paper_text_processed_filtered
96,ZeeTVAPAC,"Expect the unexpected from these young sharp minds of Singapore! 
Get ready to meet the champions in @mysinda presents Champ Coder, a coding hackathon on Sunday 9th January, at 6:30 PM &amp; 11:30 PM (SGT), only on #ZeeTVAPAC

#TheLavenderSpaceshipProjectSTEMReadyGirls #KidsgetCoding https://t.co/oqRRddInQz","expect the unexpected from these young sharp minds of singapore! 
get ready to meet the champions in @mysinda presents champ coder, a coding hackathon on sunday 9th january, at 6:30 pm &amp; 11:30 pm (sgt), only on #zeetvapac

#thelavenderspaceshipprojectstemreadygirls #kidsgetcoding ","expect unexpected young sharp mind singapore! 
get ready meet champion @mysinda present champ coder, coding hackathon sunday 9th january, 6:30 pm &amp; 11:30 pm (sgt), #zeetvapac

#thelavenderspaceshipprojectstemreadygirls #kidsgetcoding "
97,ariftukiman,"2014
I joined many hackathons and startup community events, and I even went to Singapore for one DBS Bank Hackathon challenge.

My objective is to start exploring the outside world and expand my network. https://t.co/EyHltuhl1q","2014
i joined many hackathons and startup community events, and i even went to singapore for one dbs bank hackathon challenge.

my objective is to start exploring the outside world and expand my network. ","2014
i joined many hackathons startup community events, even went singapore one db bank hackathon challenge.

my objective start exploring outside world expand network. "
98,Hannidew,"Could you showcase your database skills to create a unique cloud-based product solution for Huawei? Enter the Huawei Hackathon Singapore Challenge - your opportunity to compete for cash prizes, employment opportunities and more https://t.co/qTvWiq0jND","could you showcase your database skills to create a unique cloud-based product solution for huawei? enter the huawei hackathon singapore challenge - your opportunity to compete for cash prizes, employment opportunities and more ","could showcase database skill create unique cloud-based product solution huawei? enter huawei hackathon singapore challenge - opportunity compete cash prizes, employment opportunity "
99,SGInnovate,"Join the #HUAWEICLOUDSPARK Hackathon Singapore 2022 to win up to US$15,000 &amp; get fast-tracked access to roles within @Huawei &amp; the Spark Programme portfolio startups.

💥 Open to students &amp; recent graduates
💥 Solutions must be developed using @Huaweiit's tools

Find out more:","join the #huaweicloudspark hackathon singapore 2022 to win up to us$15,000 &amp; get fast-tracked access to roles within @huawei &amp; the spark programme portfolio startups.

💥 open to students &amp; recent graduates
💥 solutions must be developed using @huaweiit's tools

find out more:","join #huaweicloudspark hackathon singapore 2022 win us$15,000 &amp; get fast-tracked access role within @huawei &amp; spark programme portfolio startups.

💥 open student &amp; recent graduates
💥 solution must developed using @huaweiit's tools

find more:"
100,criptikos,"Singapore, Singapore, 28th December, 2021,

Hackathon To Support Developers And Promote Growing GameFi Trend

Leading NFT marketplace APENFT, in partnership with TRON, one of the world’s largest and most popular blockchain-based operating systems, has la… https://t.co/oDRNwXgTk5","singapore, singapore, 28th december, 2021,

hackathon to support developers and promote growing gamefi trend

leading nft marketplace apenft, in partnership with tron, one of the world’s largest and most popular blockchain-based operating systems, has la… ","singapore, singapore, 28th december, 2021,

hackathon support developer promote growing gamefi trend

leading nft marketplace apenft, partnership tron, one world’s largest popular blockchain-based operating systems, ha la… "
101,TechCoffeeHouse,Singapore Hackathon to find community-driven solutions to local challenges https://t.co/WGO1YyIqqe,singapore hackathon to find community-driven solutions to local challenges ,singapore hackathon find community-driven solution local challenge 
102,rishabh16_,"Going for a hackathon after VERY, VERY long time. All the popular ones in Singapore got cancelled coz of covid 😭😭

This is gonna hit different frfr","going for a hackathon after very, very long time. all the popular ones in singapore got cancelled coz of covid 😭😭

this is gonna hit different frfr","going hackathon very, long time. popular one singapore got cancelled coz covid 😭😭

this gonna hit different frfr"
103,LAHSGwalior,"ICode Global Hackathon Final Results 
🏆 LAHS Gwalior students BAG ALL TOP 10 POSITIONS IN INDIA &amp; TOP 50 POSITIONS GLOBALLY  🏆L  Competing with Top schools from Countries  like USA, Israel, China, Singapore, UAE, and others. https://t.co/b3L44Qohh6","icode global hackathon final results 
🏆 lahs gwalior students bag all top 10 positions in india &amp; top 50 positions globally  🏆l  competing with top schools from countries  like usa, israel, china, singapore, uae, and others. ","icode global hackathon final result 
🏆 lah gwalior student bag top 10 position india &amp; top 50 position globally  🏆l  competing top school country  like usa, israel, china, singapore, uae, others. "
104,MadGrowr,"After the dear to Bill and Melinda Gates Foundation project Mojaloop failed to deliver airdrops with UBI to Myanmar opposition, the job was done by crypto
In Singapore couple of months ago a CBDC Hackathon was held that couldn’t produce viable solution for CBDC that is not crypto https://t.co/lno5xku4gs","after the dear to bill and melinda gates foundation project mojaloop failed to deliver airdrops with ubi to myanmar opposition, the job was done by crypto
in singapore couple of months ago a cbdc hackathon was held that couldn’t produce viable solution for cbdc that is not crypto ","dear bill melinda gate foundation project mojaloop failed deliver airdrop ubi myanmar opposition, job wa done crypto
in singapore couple month ago cbdc hackathon wa held couldn’t produce viable solution cbdc crypto "
105,genie_sg,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/IQD8fSHwrJ https://t.co/KksWktGkg8","we're happy to share that 70 students across asia pacific, including the philippines, australia, malaysia, singapore, and india, took part in our apac secur’it cup hackathon last month! see who bagged the prize in this report.  ","we're happy share 70 student across asia pacific, including philippines, australia, malaysia, singapore, india, took part apac secur’it cup hackathon last month! see bagged prize report.  "
106,gsdeveloper,"Only 7 days left to sign up for GS ENGage 2021, our Hackathon in Singapore! Join us to showcase your coding &amp; problem solving skills. Submission deadline is December 22: https://t.co/IAPgSBRZbp #GSEngineering https://t.co/vwamhqWVPi","only 7 days left to sign up for gs engage 2021, our hackathon in singapore! join us to showcase your coding &amp; problem solving skills. submission deadline is december 22:  #gsengineering ","7 day left sign g engage 2021, hackathon singapore! join u showcase coding &amp; problem solving skills. submission deadline december 22:  #gsengineering "
107,gsdeveloper,A chance to develop a data solution to extract and transform ESG data to a well-curated data model. Join our virtual hackathon GS ENGage 2021 with #GSEngineering Singapore: https://t.co/H1rSNPlk41,a chance to develop a data solution to extract and transform esg data to a well-curated data model. join our virtual hackathon gs engage 2021 with #gsengineering singapore: ,chance develop data solution extract transform esg data well-curated data model. join virtual hackathon g engage 2021 #gsengineering singapore: 
108,gsdeveloper,Interested in designing a system that streamlines the report generation process? Join our virtual hackathon GS ENGage 2021 with #GSEngineering Singapore: https://t.co/TVsrTilwRD,interested in designing a system that streamlines the report generation process? join our virtual hackathon gs engage 2021 with #gsengineering singapore: ,interested designing system streamlines report generation process? join virtual hackathon g engage 2021 #gsengineering singapore: 
109,PwC_Singapore,It is exciting to see #undergraduate talent putting their skills and ideas to address #CloudSecurity problem statements in our #Hackathon Challenge 2021. Congratulations to #HackaDay2021’s Singapore winner - ‘onlyHats’ from Singapore Institute of Management! https://t.co/wkOkCVLWHb,it is exciting to see #undergraduate talent putting their skills and ideas to address #cloudsecurity problem statements in our #hackathon challenge 2021. congratulations to #hackaday2021’s singapore winner - ‘onlyhats’ from singapore institute of management! ,exciting see #undergraduate talent putting skill idea address #cloudsecurity problem statement #hackathon challenge 2021. congratulation #hackaday2021’s singapore winner - ‘onlyhats’ singapore institute management! 
110,News1Lead,"🏆 #NewsLead Daily Digest Dec 6:

🌟 @Shield_dao Attending @Gitcoin Hackathon GR12

🌟 @WINNFTHORSE Launch

🌟 #BSC x @AnimocaBrands Investment Program

🌟 @ZooGamePro | Weekly Developer Update

🌟 @Cryptocom Achieves Singapore’s Data Protection Trust Mark

#N1L #News1lead https://t.co/21tOdTCRCk","🏆 #newslead daily digest dec 6:

🌟 @shield_dao attending @gitcoin hackathon gr12

🌟 @winnfthorse launch

🌟 #bsc x @animocabrands investment program

🌟 @zoogamepro | weekly developer update

🌟 @cryptocom achieves singapore’s data protection trust mark

#n1l #news1lead ","🏆 #newslead daily digest dec 6:

🌟 @shield_dao attending @gitcoin hackathon gr12

🌟 @winnfthorse launch

🌟 #bsc x @animocabrands investment program

🌟 @zoogamepro | weekly developer update

🌟 @cryptocom achieves singapore’s data protection trust mark

#n1l #news1lead "
111,tangenghui,"Moledao launched global Web 3.0 #Hackathon for #blockchain enthusiasts 

https://t.co/cFWhtnoPdV

#Singapore #FinTech #Technology","moledao launched global web 3.0 #hackathon for #blockchain enthusiasts 



#singapore #fintech #technology","moledao launched global web 3.0 #hackathon #blockchain enthusiast 



#singapore #fintech #technology"
112,GMCInnovation,"Huawei Cloud Spark Hackathon Singapore 2022 | Are you a technology enthusiast, talented developer or aspiring entrepreneur? We are thrilled to announce the launch of the very first...
Follow us ||  #Competitions #Scholarships #Contests
https://t.co/i2XCXVtfnj https://t.co/fc5BeCvGm5","huawei cloud spark hackathon singapore 2022 | are you a technology enthusiast, talented developer or aspiring entrepreneur? we are thrilled to announce the launch of the very first...
follow us ||  #competitions #scholarships #contests
 ","huawei cloud spark hackathon singapore 2022 | technology enthusiast, talented developer aspiring entrepreneur? thrilled announce launch first...
follow u ||  #competitions #scholarships #contests
 "
113,NH_Singapore,"Our CEO Edward Chen will be participating as one of the judges in the Singapore Blockchain Innovation Challenge Hackathon happening today. More info here: https://t.co/hba4lvvTUi 
#hackathon #Blockchain #sbip","our ceo edward chen will be participating as one of the judges in the singapore blockchain innovation challenge hackathon happening today. more info here:  
#hackathon #blockchain #sbip","ceo edward chen participating one judge singapore blockchain innovation challenge hackathon happening today. info here:  
#hackathon #blockchain #sbip"
114,Ruksana63232544,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/5xbI6saWfW https://t.co/5izd61F4AT","we're happy to share that 70 students across asia pacific, including the philippines, australia, malaysia, singapore, and india, took part in our apac secur’it cup hackathon last month! see who bagged the prize in this report.  ","we're happy share 70 student across asia pacific, including philippines, australia, malaysia, singapore, india, took part apac secur’it cup hackathon last month! see bagged prize report.  "
115,New_Huo_Tech,".@HuobiSg CEO Edward Chen will be participating as one of the judges in the Singapore Blockchain Innovation Challenge Hackathon tomorrow. 
More info here: https://t.co/qK8tcsNGbQ 
#hackathon #Blockchain",".@huobisg ceo edward chen will be participating as one of the judges in the singapore blockchain innovation challenge hackathon tomorrow. 
more info here:  
#hackathon #blockchain",".@huobisg ceo edward chen participating one judge singapore blockchain innovation challenge hackathon tomorrow. 
more info here:  
#hackathon #blockchain"
116,PetrFedorovCHR,"We're happy to share that 70 students across Asia Pacific, including the Philippines, Australia, Malaysia, Singapore, and India, took part in our APAC Secur’IT Cup hackathon last month! See who bagged the prize in this report. https://t.co/wpDsfSaDTe https://t.co/FQn7XsWHqJ","we're happy to share that 70 students across asia pacific, including the philippines, australia, malaysia, singapore, and india, took part in our apac secur’it cup hackathon last month! see who bagged the prize in this report.  ","we're happy share 70 student across asia pacific, including philippines, australia, malaysia, singapore, india, took part apac secur’it cup hackathon last month! see bagged prize report.  "
117,codingal,"We are happy to announce the Code Connect Hackathon winners! 🎉
Winners: V Sreevatsav, C V R Memorial Eng. Med. School, Anantapur
1st runner-up: Vibhu, Yuvabharathi International School, Singapore
2nd runner-up: Hasna Mariyam. P, San Academy, Chennai
 Congratulations to all!🙂 https://t.co/XOcM4BB431","we are happy to announce the code connect hackathon winners! 🎉
winners: v sreevatsav, c v r memorial eng. med. school, anantapur
1st runner-up: vibhu, yuvabharathi international school, singapore
2nd runner-up: hasna mariyam. p, san academy, chennai
 congratulations to all!🙂 ","happy announce code connect hackathon winners! 🎉
winners: v sreevatsav, c v r memorial eng. med. school, anantapur
1st runner-up: vibhu, yuvabharathi international school, singapore
2nd runner-up: hasna mariyam. p, san academy, chennai
 congratulation all!🙂 "
118,PwC_Singapore,Registration is closing soon! Sign up for our Hackathon Challenge 2021 by 24 November if you’re a penultimate or final year university student in Singapore with a passion for #CyberSecurity and stand a chance to win cash prizes and an internship with us. https://t.co/FfMZ0kD3EI,registration is closing soon! sign up for our hackathon challenge 2021 by 24 november if you’re a penultimate or final year university student in singapore with a passion for #cybersecurity and stand a chance to win cash prizes and an internship with us. ,registration closing soon! sign hackathon challenge 2021 24 november you’re penultimate final year university student singapore passion #cybersecurity stand chance win cash prize internship us. 
119,agorize,"Enter the Huawei Hackathon Singapore Challenge - your opportunity to compete for cash prizes, employment opportunities, and the prestige of working with a leading global brand! 👉🏻 https://t.co/IE7uKSWcJq https://t.co/66NDhft6Ay","enter the huawei hackathon singapore challenge - your opportunity to compete for cash prizes, employment opportunities, and the prestige of working with a leading global brand! 👉🏻  ","enter huawei hackathon singapore challenge - opportunity compete cash prizes, employment opportunities, prestige working leading global brand! 👉🏻  "
120,PwC_Singapore,Calling all penultimate &amp; final year uni students in Singapore: We’re looking for creative minds to help enhance #CloudSecurity for companies at our Hackathon Challenge 2021! Register by 19 Nov to stand a chance to win cash prizes &amp; an internship with us. https://t.co/FfMZ0kD3EI,calling all penultimate &amp; final year uni students in singapore: we’re looking for creative minds to help enhance #cloudsecurity for companies at our hackathon challenge 2021! register by 19 nov to stand a chance to win cash prizes &amp; an internship with us. ,calling penultimate &amp; final year uni student singapore: we’re looking creative mind help enhance #cloudsecurity company hackathon challenge 2021! register 19 nov stand chance win cash prize &amp; internship us. 
121,codingal,"We are happy to announce the Code Spartans Hackathon winners! 🎉

Winner: Samhith Gurajapu, @JSSPSHSR, Bengaluru
1st runner-up: V Sreevatsav, CVR Memorial School, Anantpur
2nd runner-up: Vibhu, Yuvabharathi International School, Singapore

Congratulations to all the winners! 🙂 https://t.co/Bs983MMIWR","we are happy to announce the code spartans hackathon winners! 🎉

winner: samhith gurajapu, @jsspshsr, bengaluru
1st runner-up: v sreevatsav, cvr memorial school, anantpur
2nd runner-up: vibhu, yuvabharathi international school, singapore

congratulations to all the winners! 🙂 ","happy announce code spartan hackathon winners! 🎉

winner: samhith gurajapu, @jsspshsr, bengaluru
1st runner-up: v sreevatsav, cvr memorial school, anantpur
2nd runner-up: vibhu, yuvabharathi international school, singapore

congratulations winners! 🙂 "
122,XilinxInc,"Women from universities in Beijing, Hong Kong, Shanghai, and Singapore came together for Xilinx's All Women Thematic #Hackathon. All participants built 2WD cars using Xilinx #PYNQ boards. Congrats to all the teams!

Learn about the event: https://t.co/eFL1kl5spq

#Womenintech https://t.co/MgoLjcD5oX","women from universities in beijing, hong kong, shanghai, and singapore came together for xilinx's all women thematic #hackathon. all participants built 2wd cars using xilinx #pynq boards. congrats to all the teams!

learn about the event: 

#womenintech ","woman university beijing, hong kong, shanghai, singapore came together xilinx's woman thematic #hackathon. participant built 2wd car using xilinx #pynq boards. congrats teams!

learn event: 

#womenintech "
123,Yen_zv,@mindsgn hello，we're a team in Singapore and we're about to host a high-prize hackathon. would u like to do something with us?,@mindsgn hello，we're a team in singapore and we're about to host a high-prize hackathon. would u like to do something with us?,@mindsgn hello，we're team singapore we're host high-prize hackathon. would u like something us?
124,covcampus,"A recent project led by Coventry University brought together students from the UK and Singapore to take part in a hackathon, with the aim to create and pitch business ideas that supported Net Carbon Zero objectives: https://t.co/cauTOpR3UK @CU_Singapore @COP26 https://t.co/nt1UnRPTT8","a recent project led by coventry university brought together students from the uk and singapore to take part in a hackathon, with the aim to create and pitch business ideas that supported net carbon zero objectives:  @cu_singapore @cop26 ","recent project led coventry university brought together student uk singapore take part hackathon, aim create pitch business idea supported net carbon zero objectives:  @cu_singapore @cop26 "
125,CU_Singapore,"Congratulations to the winners of 2021 UKSAEI Climate Change and Sustainability Hackathon 🥳🥳
Established in April 2021, UKSAEI brings together 12 UK and 5 Singapore universities to promote collaboration in Entrepreneurship and Innovation.
#entrepeneurship #innovation https://t.co/8h6LEnOAMJ","congratulations to the winners of 2021 uksaei climate change and sustainability hackathon 🥳🥳
established in april 2021, uksaei brings together 12 uk and 5 singapore universities to promote collaboration in entrepreneurship and innovation.
#entrepeneurship #innovation ","congratulation winner 2021 uksaei climate change sustainability hackathon 🥳🥳
established april 2021, uksaei brings together 12 uk 5 singapore university promote collaboration entrepreneurship innovation.
#entrepeneurship #innovation "
126,dbsbank,"An idea to equip female Telegram users with safety and privacy functions such as watermarking and face blurring is among the winners at this year's Hackathon for a Better World, organised by DBS, @SingaporeMCI and the Singapore Judiciary https://t.co/i7T2jRRBd1

Photo: Go Women https://t.co/9zaBLRx62C","an idea to equip female telegram users with safety and privacy functions such as watermarking and face blurring is among the winners at this year's hackathon for a better world, organised by dbs, @singaporemci and the singapore judiciary 

photo: go women ","idea equip female telegram user safety privacy function watermarking face blurring among winner year's hackathon better world, organised dbs, @singaporemci singapore judiciary 

photo: go woman "
127,moledao_io,#nowhiring #Hiring #startup #blockchain #blockchaineducation #hackathon #singapore,#nowhiring #hiring #startup #blockchain #blockchaineducation #hackathon #singapore,#nowhiring #hiring #startup #blockchain #blockchaineducation #hackathon #singapore
128,HawksightCo,"☀️We are Singapore-based, backed by European investors, founded by Filipinos &amp; Indonesians, winners of @SCB10X_OFFICIAL Global DeFi Hackathon, and driving DeFi adoption Globally

🔥And we have joined @solana #IGNITION LFG

@austin_federa @therealchaseeb
@aeyakovenko @rajgokal https://t.co/8Gk4o5bTFI","☀️we are singapore-based, backed by european investors, founded by filipinos &amp; indonesians, winners of @scb10x_official global defi hackathon, and driving defi adoption globally

🔥and we have joined @solana #ignition lfg

@austin_federa @therealchaseeb
@aeyakovenko @rajgokal ","☀️we singapore-based, backed european investors, founded filipino &amp; indonesians, winner @scb10x_official global defi hackathon, driving defi adoption globally

🔥and joined @solana #ignition lfg

@austin_federa @therealchaseeb
@aeyakovenko @rajgokal "
129,livestormapp,"1/ 

A very big congrats to the winners of our first virtual #hackathon 🎉

Our Demo Day was truly a global event, with finalists tuning in from France, Italy, South Africa, India and Singapore!

Take a look at their creative Livestorm Plugins:

(a thread 🧵) https://t.co/nSlevmrCvA","1/ 

a very big congrats to the winners of our first virtual #hackathon 🎉

our demo day was truly a global event, with finalists tuning in from france, italy, south africa, india and singapore!

take a look at their creative livestorm plugins:

(a thread 🧵) ","1/ 

a big congrats winner first virtual #hackathon 🎉

our demo day wa truly global event, finalist tuning france, italy, south africa, india singapore!

take look creative livestorm plugins:

(a thread 🧵) "
130,thebu11runner,"SDF has partnered with academic programs around the world 🌎 🎓

Including Berkeley, London, Singapore, Cyprus 

Stellar also provides a range of resources to students outside of those partnerships, including grants &amp; guest lectures, as well as hackathon events

#Stellar $XLM","sdf has partnered with academic programs around the world 🌎 🎓

including berkeley, london, singapore, cyprus 

stellar also provides a range of resources to students outside of those partnerships, including grants &amp; guest lectures, as well as hackathon events

#stellar $xlm","sdf ha partnered academic program around world 🌎 🎓

including berkeley, london, singapore, cyprus 

stellar also provides range resource student outside partnerships, including grant &amp; guest lectures, well hackathon events

#stellar $xlm"
131,_pict_acm_,"💫 He has been felicitated by Prime Minister of India, Shri Narendra Modi for representing India as a part of the national hackathon team for Singapore-India Hackathon. 🤩","💫 he has been felicitated by prime minister of india, shri narendra modi for representing india as a part of the national hackathon team for singapore-india hackathon. 🤩","💫 ha felicitated prime minister india, shri narendra modi representing india part national hackathon team singapore-india hackathon. 🤩"
132,RMITVietnam,"Going up against 28 teams from Singapore and the region, a team of five @RMITVietnam students took home third place at Singapore #HumanResource Institute’s (SHRI) Annual Hackathon. Read more: https://t.co/oqu06FjXKi https://t.co/ndqS8CnC0o","going up against 28 teams from singapore and the region, a team of five @rmitvietnam students took home third place at singapore #humanresource institute’s (shri) annual hackathon. read more:  ","going 28 team singapore region, team five @rmitvietnam student took home third place singapore #humanresource institute’s (shri) annual hackathon. read more:  "
133,thirstonline,"Will the pandemic be an inflection point for digital missions?

Mervyn Lee from @indigitous Singapore lays down this challenge and throws out an invitation to virtual hackathon #HACK2021. 
https://t.co/hnLbbkcerS","will the pandemic be an inflection point for digital missions?

mervyn lee from @indigitous singapore lays down this challenge and throws out an invitation to virtual hackathon #hack2021. 
","pandemic inflection point digital missions?

mervyn lee @indigitous singapore lay challenge throw invitation virtual hackathon #hack2021. 
"
134,jais_george,DBS Bank to recruit 150 people for tech roles through virtual hackathon programme #SoutheastAsia #DbsBank #HACKATHON #ArtificialIntelligence #MachineLearning #Singapore #Recruitment #Hiring #TalentAcquisition  https://t.co/OqeOPGPSmj,dbs bank to recruit 150 people for tech roles through virtual hackathon programme #southeastasia #dbsbank #hackathon #artificialintelligence #machinelearning #singapore #recruitment #hiring #talentacquisition  ,db bank recruit 150 people tech role virtual hackathon programme #southeastasia #dbsbank #hackathon #artificialintelligence #machinelearning #singapore #recruitment #hiring #talentacquisition  
135,sianjon,Should I have woken up earlier for this airdrop? I'm attending from Singapore  @MessariCrypto #Mainnet2021 and taking part in the #HarmonyONE hackathon as well. https://t.co/xVbPAewh0M,should i have woken up earlier for this airdrop? i'm attending from singapore  @messaricrypto #mainnet2021 and taking part in the #harmonyone hackathon as well. ,woken earlier airdrop? i'm attending singapore  @messaricrypto #mainnet2021 taking part #harmonyone hackathon well. 
136,SingaporeJobs88,"DBS to hire 150 people for tech roles through programme with virtual hackathon, Banking ... https://t.co/Vy3lNO9OW0 #singapore #jobs","dbs to hire 150 people for tech roles through programme with virtual hackathon, banking ...  #singapore #jobs","db hire 150 people tech role programme virtual hackathon, banking ...  #singapore #jobs"
137,DucThu82,"WhyBorder - A billion-dollar real estate company, one of the top 3 largest companies in Singapore, has officially joined Pi Network's Hackathon. Don't let the money fall. Follow link to mine Pi now: https://t.co/YOHnnBUogI , invite code: thund https://t.co/Ryon9FmfpT","whyborder - a billion-dollar real estate company, one of the top 3 largest companies in singapore, has officially joined pi network's hackathon. don't let the money fall. follow link to mine pi now:  , invite code: thund ","whyborder - billion-dollar real estate company, one top 3 largest company singapore, ha officially joined pi network's hackathon. let money fall. follow link mine pi now:  , invite code: thund "
138,Filecoin,"🌏 Asia Hackathon Season 2021 🌏

Running now through Fall 2021:
🪐 ""Saturn"" with the @WXblockchain Hackathon
🔭 ""Jupiter"" with @alibaba_cloud 
🛸 ""Mars"" with @0xPolygon
🛰 ""Mercury"" with Singapore-based Tribe

Learn more: https://t.co/anVRcv0zWx","🌏 asia hackathon season 2021 🌏

running now through fall 2021:
🪐 ""saturn"" with the @wxblockchain hackathon
🔭 ""jupiter"" with @alibaba_cloud 
🛸 ""mars"" with @0xpolygon
🛰 ""mercury"" with singapore-based tribe

learn more: ","🌏 asia hackathon season 2021 🌏

running fall 2021:
🪐 ""saturn"" @wxblockchain hackathon
🔭 ""jupiter"" @alibaba_cloud 
🛸 ""mars"" @0xpolygon
🛰 ""mercury"" singapore-based tribe

learn more: "
139,_LegalJoe,"Linklaters, CC + Dentons-Backed Singapore Hackathon – The Winners https://t.co/w2TO5LBnA3 https://t.co/MtjcTjpoeT","linklaters, cc + dentons-backed singapore hackathon – the winners  ","linklaters, cc + dentons-backed singapore hackathon – winner  "
140,Sooly_Kobayashi,"#Shitcoins #Hackathon #Shitcathon
Monetary Authority of Singapore Chooses 15 Finalists for Global CBDC Challenge
https://t.co/IbBWBuHeIz","#shitcoins #hackathon #shitcathon
monetary authority of singapore chooses 15 finalists for global cbdc challenge
","#shitcoins #hackathon #shitcathon
monetary authority singapore chooses 15 finalist global cbdc challenge
"
141,jillrgunter,"📣 Open-sourced DeFi Projects, RFC !! 🚨

This week, NTU Singapore is collecting project ideas for its 80+ students in their CS course — and want YOUR input on the problems they should solve.

Think of it as an ETH hackathon without the bounties!

A few more details 👇 https://t.co/TZwVhJHdza","📣 open-sourced defi projects, rfc !! 🚨

this week, ntu singapore is collecting project ideas for its 80+ students in their cs course — and want your input on the problems they should solve.

think of it as an eth hackathon without the bounties!

a few more details 👇 ","📣 open-sourced defi projects, rfc !! 🚨

this week, ntu singapore collecting project idea 80+ student c course — want input problem solve.

think eth hackathon without bounties!

a detail 👇 "
142,MasMazCom,"Linklaters, CC + Dentons-Backed Singapore Hackathon – The Winners - https://t.co/hcU5l2XrAN","linklaters, cc + dentons-backed singapore hackathon – the winners - ","linklaters, cc + dentons-backed singapore hackathon – winner - "
143,Dataemia,"Linklaters, CC + Dentons-Backed Singapore Hackathon – The Winners - https://t.co/Ji4MIDy05K","linklaters, cc + dentons-backed singapore hackathon – the winners - ","linklaters, cc + dentons-backed singapore hackathon – winner - "
144,simmuc,"Linklaters, CC + Dentons-Backed Singapore Hackathon - The Winners https://t.co/BWX02Ehlkf via @ArtificialLawya","linklaters, cc + dentons-backed singapore hackathon - the winners  via @artificiallawya","linklaters, cc + dentons-backed singapore hackathon - winner  via @artificiallawya"
145,ArtificialLawya,"Linklaters, CC + Dentons-Backed Singapore Hackathon - The Winners 

&gt; Good to see that hackathons for students are still going on, in this case in Singapore. HT @sgSMU @LinklatersLLP @Clifford_Chance @Dentons @Dentons_Rodyk @avvokadocs @LexisNexis 

https://t.co/M9JMYsK9iH","linklaters, cc + dentons-backed singapore hackathon - the winners 

&gt; good to see that hackathons for students are still going on, in this case in singapore. ht @sgsmu @linklatersllp @clifford_chance @dentons @dentons_rodyk @avvokadocs @lexisnexis 

","linklaters, cc + dentons-backed singapore hackathon - winner 

&gt; good see hackathons student still going on, case singapore. ht @sgsmu @linklatersllp @clifford_chance @dentons @dentons_rodyk @avvokadocs @lexisnexis 

"
146,ArtificialLawya,"Linklaters, CC + Dentons-Backed Singapore Hackathon – The Winners https://t.co/M9JMYsK9iH","linklaters, cc + dentons-backed singapore hackathon – the winners ","linklaters, cc + dentons-backed singapore hackathon – the winners "
147,IndiainSingapor,"High Commissioner of India, Singapore interacted with and congratulated the winners of the ASEAN-INDIA Hackathon  held in February 2021. @MEAIndia @AICTE_INDIA @NUSingapore 
@sgSMU @NTUsg https://t.co/bCKSAwOD2L","high commissioner of india, singapore interacted with and congratulated the winners of the asean-india hackathon  held in february 2021. @meaindia @aicte_india @nusingapore 
@sgsmu @ntusg ","high commissioner india, singapore interacted congratulated winner asean-india hackathon  held february 2021. @meaindia @aicte_india @nusingapore 
@sgsmu @ntusg "
148,FAforWomen,"HACKATHON is starting!
Unlocking the full power of the female economy, check all the interesting topics in the schedule

Date: Wednesday August 4, 2021
Time: 
8:00 – 9:30 AM New York Time 
1:00 – 2:30 PM London Time 
8:00 – 9:30 PM Singapore Time
#ALLIANCEHACK https://t.co/38XOsSgxld","hackathon is starting!
unlocking the full power of the female economy, check all the interesting topics in the schedule

date: wednesday august 4, 2021
time: 
8:00 – 9:30 am new york time 
1:00 – 2:30 pm london time 
8:00 – 9:30 pm singapore time
#alliancehack ","hackathon starting!
unlocking full power female economy, check interesting topic schedule

date: wednesday august 4, 2021
time: 
8:00 – 9:30 new york time 
1:00 – 2:30 pm london time 
8:00 – 9:30 pm singapore time
#alliancehack "
149,docdoc,"Our CEO @ColeSirucek recently participated in a webinar organised by Beyond Health Hack, Singapore’s largest student #healthcare hackathon. Check out his advice to budding entrepreneurs here: https://t.co/qqY78luq5z https://t.co/mzUJo9b34F","our ceo @colesirucek recently participated in a webinar organised by beyond health hack, singapore’s largest student #healthcare hackathon. check out his advice to budding entrepreneurs here:  ","ceo @colesirucek recently participated webinar organised beyond health hack, singapore’s largest student #healthcare hackathon. check advice budding entrepreneur here:  "
150,jomhackmy,"#HLBCYHI2021 Virtual Hackathon is here, and it is going to be bigger and badder this year. Remember, it's open to everyone from Malaysia, Brunei, Cambodia, Indonesia, Laos, Myanmar, Philippines, Singapore, Thailand and Vietnam! Visit https://t.co/O1fOmR3XGm to sign up your team! https://t.co/yEh4b94pzD","#hlbcyhi2021 virtual hackathon is here, and it is going to be bigger and badder this year. remember, it's open to everyone from malaysia, brunei, cambodia, indonesia, laos, myanmar, philippines, singapore, thailand and vietnam! visit  to sign up your team! ","#hlbcyhi2021 virtual hackathon here, going bigger badder year. remember, open everyone malaysia, brunei, cambodia, indonesia, laos, myanmar, philippines, singapore, thailand vietnam! visit  sign team! "
